Year,Round,Game,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2018,round4,Game1,Adelaide,58,Adelaide Oval,Adelaide Oval,SA,3
2018,round4,Game2,Greater Western Sydney,82,UNSW Canberra Oval,Sydney Showground,NSW,2
2018,round4,Game3,Richmond,110,MCG,MCG,VIC,9
2018,round4,Game4,Western Bulldogs,79,Docklands,Docklands,VIC,16
2018,round4,Game5,North Melbourne,116,Blundstone Arena,Docklands,VIC,11
2018,round4,Game6,West Coast,139,Perth Stadium,Perth Stadium,WA,5
2018,round4,Game7,Essendon,106,Docklands,Docklands,VIC,13
2018,round4,Game8,Hawthorn,115,MCG,MCG,VIC,8
2018,round4,Game9,Geelong,103,Kardinia Park,Kardinia Park,VIC,12
2018,round5,Game1,Sydney,75,SCG,SCG,NSW,6
2018,round5,Game2,St. Kilda,73,Docklands,Docklands,VIC,16
2018,round5,Game3,Carlton,69,MCG,Docklands,VIC,18
2018,round5,Game4,Port Adelaide,50,Adelaide Oval,Adelaide Oval,SA,5
2018,round5,Game5,Fremantle,108,Perth Stadium,Perth Stadium,WA,13
2018,round5,Game6,North Melbourne,98,Docklands,Docklands,VIC,7
2018,round5,Game7,Brisbane,71,Gabba,Gabba,QLD,17
2018,round5,Game8,Melbourne,56,MCG,MCG,VIC,12
2018,round5,Game9,Collingwood,101,MCG,MCG,VIC,10
2018,round6,Game1,Western Bulldogs,80,Docklands,Docklands,VIC,16
2018,round6,Game2,Geelong,69,Kardinia Park,Kardinia Park,VIC,6
2018,round6,Game3,North Melbourne,69,Docklands,Docklands,VIC,4
2018,round6,Game4,Greater Western Sydney,77,Sydney Showground,Sydney Showground,NSW,3
2018,round6,Game5,Hawthorn,89,University of Tasmania Stadium,MCG,VIC,7
2018,round6,Game6,Adelaide,110,Adelaide Oval,Adelaide Oval,SA,8
2018,round6,Game7,Essendon,72,Docklands,Docklands,VIC,13
2018,round6,Game8,Collingwood,70,MCG,MCG,VIC,5
2018,round6,Game9,Fremantle,81,Perth Stadium,Perth Stadium,WA,11
2018,round7,Game1,Geelong,93,Kardinia Park,Kardinia Park,VIC,9
2018,round7,Game2,Western Bulldogs,81,Eureka,Docklands,VIC,15
2018,round7,Game3,Essendon,67,MCG,Docklands,VIC,14
2018,round7,Game4,West Coast,102,Perth Stadium,Perth Stadium,WA,2
2018,round7,Game5,Sydney,66,SCG,SCG,NSW,7
2018,round7,Game6,Adelaide,125,Adelaide Oval,Adelaide Oval,SA,5
2018,round7,Game7,Richmond,110,MCG,MCG,VIC,1
2018,round7,Game8,St. Kilda,67,Docklands,Docklands,VIC,16
2018,round7,Game9,Brisbane,114,Gabba,Gabba,QLD,17
2018,round8,Game1,Hawthorn,71,MCG,MCG,VIC,4
2018,round8,Game2,Greater Western Sydney,61,Sydney Showground,Sydney Showground,NSW,5
2018,round8,Game3,Carlton,91,MCG,Docklands,VIC,18
2018,round8,Game4,Gold Coast,77,Gabba,Metricon,QLD,13
2018,round8,Game5,Port Adelaide,95,Adelaide Oval,Adelaide Oval,SA,11
2018,round8,Game6,Western Bulldogs,107,Docklands,Docklands,VIC,14
2018,round8,Game7,Fremantle,89,Perth Stadium,Perth Stadium,WA,12
2018,round8,Game8,North Melbourne,72,Docklands,Docklands,VIC,7
2018,round8,Game9,Collingwood,45,MCG,MCG,VIC,9
2018,round9,Game1,Adelaide,63,Adelaide Oval,Adelaide Oval,SA,4
2018,round9,Game2,North Melbourne,112,Blundstone Arena,Docklands,VIC,10
2018,round9,Game3,Gold Coast,42,Jiangwan Stadium,Metricon,QLD,14
2018,round9,Game4,Essendon,84,MCG,Docklands,VIC,15
2018,round9,Game5,Sydney,111,SCG,SCG,NSW,7
2018,round9,Game6,St. Kilda,72,Docklands,Docklands,VIC,16
2018,round9,Game7,Carlton,50,MCG,Docklands,VIC,17
2018,round9,Game8,Brisbane,129,Gabba,Gabba,QLD,18
2018,round9,Game9,West Coast,130,Perth Stadium,Perth Stadium,WA,2
2018,round10,0Game1,Collingwood,90,Docklands,MCG,VIC,10
2018,round10,0Game2,Richmond,105,MCG,MCG,VIC,2
2018,round10,0Game3,Brisbane,49,Gabba,Gabba,QLD,17
2018,round10,0Game4,Geelong,73,Kardinia Park,Kardinia Park,VIC,8
2018,round10,0Game5,Greater Western Sydney,60,Sydney Showground,Sydney Showground,NSW,11
2018,round10,0Game6,Hawthorn,60,Docklands,MCG,VIC,9
2018,round10,0Game7,Melbourne,146,TIO Stadium,MCG,VIC,3
2018,round10,0Game8,Fremantle,58,Perth Stadium,Perth Stadium,WA,12
2018,round11,1Game1,Sydney,91,SCG,SCG,NSW,4
2018,round11,1Game2,Western Bulldogs,51,Docklands,Docklands,VIC,14
2018,round11,1Game3,Hawthorn,64,University of Tasmania Stadium,MCG,VIC,10
2018,round11,1Game4,Gold Coast,36,Metricon,Metricon,QLD,15
2018,round11,1Game5,Essendon,43,MCG,Docklands,VIC,12
2018,round11,1Game6,West Coast,101,Perth Stadium,Perth Stadium,WA,1
2018,round11,1Game7,North Melbourne,141,Docklands,Docklands,VIC,5
2018,round11,1Game8,Collingwood,138,MCG,MCG,VIC,8
2018,round11,1Game9,Adelaide,81,Adelaide Oval,Adelaide Oval,SA,7
2018,round12,2Game1,Port Adelaide,72,Adelaide Oval,Adelaide Oval,SA,8
2018,round12,2Game2,Geelong,96,Kardinia Park,Kardinia Park,VIC,5
2018,round12,2Game3,Greater Western Sydney,134,Sydney Showground,Sydney Showground,NSW,11
2018,round12,2Game4,St. Kilda,55,Docklands,Docklands,VIC,16
2018,round12,2Game5,Brisbane,62,Gabba,Gabba,QLD,17
2018,round12,2Game6,Fremantle,71,Perth Stadium,Perth Stadium,WA,13
2018,round12,2Game7,Melbourne,91,MCG,MCG,VIC,3
2018,round13,3Game1,Port Adelaide,132,Adelaide Oval,Adelaide Oval,SA,8
2018,round13,3Game2,Sydney,72,SCG,SCG,NSW,3
2018,round13,3Game3,Carlton,46,Docklands,Docklands,VIC,18
2018,round13,3Game4,Gold Coast,78,Metricon,Metricon,QLD,15
2018,round13,3Game5,Hawthorn,88,MCG,MCG,VIC,11
2018,round13,3Game6,Geelong,65,MCG,Kardinia Park,VIC,4
2018,round14,4Game1,West Coast,52,Perth Stadium,Perth Stadium,WA,2
2018,round14,4Game2,Port Adelaide,75,Adelaide Oval,Adelaide Oval,SA,7
2018,round14,4Game3,Hawthorn,96,University of Tasmania Stadium,MCG,VIC,9
2018,round14,4Game4,Brisbane,82,Gabba,Gabba,QLD,17
2018,round14,4Game5,Western Bulldogs,75,Docklands,Docklands,VIC,14
2018,round14,4Game6,Collingwood,79,MCG,MCG,VIC,6
2018,round15,5Game1,Richmond,93,Docklands,MCG,VIC,1
2018,round15,5Game2,Western Bulldogs,103,Docklands,Docklands,VIC,14
2018,round15,5Game3,Carlton,69,MCG,Docklands,VIC,18
2018,round15,5Game4,Adelaide,88,Adelaide Oval,Adelaide Oval,SA,11
2018,round15,5Game5,Gold Coast,60,Metricon,Metricon,QLD,15
2018,round15,5Game6,Greater Western Sydney,95,Sydney Showground,Sydney Showground,NSW,10
2018,round15,5Game7,Melbourne,117,MCG,MCG,VIC,6
2018,round15,5Game8,Essendon,125,Docklands,Docklands,VIC,12
2018,round15,5Game9,Fremantle,64,Perth Stadium,Perth Stadium,WA,13
2018,round16,6Game1,Sydney,59,SCG,SCG,NSW,4
2018,round16,6Game2,Richmond,103,MCG,MCG,VIC,1
2018,round16,6Game3,Brisbane,120,Gabba,Gabba,QLD,17
2018,round16,6Game4,Port Adelaide,86,Adelaide Oval,Adelaide Oval,SA,5
2018,round16,6Game5,Western Bulldogs,59,Docklands,Docklands,VIC,14
2018,round16,6Game6,Melbourne,102,TIO Stadium,MCG,VIC,7
2018,round16,6Game7,North Melbourne,95,Docklands,Docklands,VIC,9
2018,round16,6Game8,Essendon,62,MCG,Docklands,VIC,12
2018,round16,6Game9,West Coast,86,Perth Stadium,Perth Stadium,WA,3
2018,round17,7Game1,Adelaide,112,Adelaide Oval,Adelaide Oval,SA,11
2018,round17,7Game2,St. Kilda,116,Docklands,Docklands,VIC,15
2018,round17,7Game3,Hawthorn,65,University of Tasmania Stadium,MCG,VIC,8
2018,round17,7Game4,Melbourne,119,MCG,MCG,VIC,6
2018,round17,7Game5,Gold Coast,51,Metricon,Metricon,QLD,17
2018,round17,7Game6,Greater Western Sydney,79,Sydney Showground,Sydney Showground,NSW,10
2018,round17,7Game7,Collingwood,67,MCG,MCG,VIC,2
2018,round17,7Game8,North Melbourne,98,Docklands,Docklands,VIC,9
2018,round17,7Game9,Fremantle,59,Perth Stadium,Perth Stadium,WA,13
2018,round18,8Game1,St. Kilda,57,Docklands,Docklands,VIC,15
2018,round18,8Game2,Collingwood,130,MCG,MCG,VIC,3
2018,round18,8Game3,Sydney,64,SCG,SCG,NSW,4
2018,round18,8Game4,Essendon,99,Docklands,Docklands,VIC,12
2018,round18,8Game5,Brisbane,88,Gabba,Gabba,QLD,16
2018,round18,8Game6,Geelong,100,Kardinia Park,Kardinia Park,VIC,8
2018,round18,8Game7,Carlton,52,Docklands,Docklands,VIC,18
2018,round18,8Game8,West Coast,100,Perth Stadium,Perth Stadium,WA,2
2018,round18,8Game9,Port Adelaide,58,Adelaide Oval,Adelaide Oval,SA,5
2018,round19,9Game1,Essendon,109,Docklands,Docklands,VIC,11
2018,round19,9Game2,Richmond,105,MCG,MCG,VIC,1
2018,round19,9Game3,Geelong,120,Kardinia Park,Kardinia Park,VIC,9
2018,round19,9Game4,Greater Western Sydney,86,Sydney Showground,Sydney Showground,NSW,6
2018,round19,9Game5,Gold Coast,44,Metricon,Metricon,QLD,17
2018,round19,9Game6,Adelaide,77,Adelaide Oval,Adelaide Oval,SA,12
2018,round19,9Game7,North Melbourne,81,Blundstone Arena,Docklands,VIC,10
2018,round19,9Game8,Western Bulldogs,34,Eureka,Docklands,VIC,14
2018,round19,9Game9,Fremantle,53,Perth Stadium,Perth Stadium,WA,13
2018,round20,0Game1,Richmond,85,MCG,MCG,VIC,1
2018,round20,0Game2,Hawthorn,107,MCG,MCG,VIC,7
2018,round20,0Game3,Brisbane,104,Gabba,Gabba,QLD,16
2018,round20,0Game4,Adelaide,96,Adelaide Oval,Adelaide Oval,SA,12
2018,round20,0Game5,St. Kilda,68,Docklands,Docklands,VIC,15
2018,round20,0Game6,Sydney,73,SCG,SCG,NSW,9
2018,round20,0Game7,Carlton,46,Docklands,Docklands,VIC,18
2018,round20,0Game8,Melbourne,143,MCG,MCG,VIC,6
2018,round20,0Game9,West Coast,142,Perth Stadium,Perth Stadium,WA,2
2018,round21,1Game1,Essendon,122,Docklands,Docklands,VIC,11
2018,round21,1Game2,Hawthorn,71,MCG,MCG,VIC,5
2018,round21,1Game3,Gold Coast,51,Metricon,Metricon,QLD,17
2018,round21,1Game4,Port Adelaide,58,Adelaide Oval,Adelaide Oval,SA,7
2018,round21,1Game5,Collingwood,104,Docklands,MCG,VIC,6
2018,round21,1Game6,Greater Western Sydney,106,Manuka Oval,Sydney Showground,NSW,3
2018,round21,1Game7,North Melbourne,85,Docklands,Docklands,VIC,10
2018,round21,1Game8,Melbourne,78,MCG,MCG,VIC,4
2018,round21,1Game9,Fremantle,101,Perth Stadium,Perth Stadium,WA,13
2018,round22,2Game1,Richmond,81,MCG,MCG,VIC,1
2018,round22,2Game2,Collingwood,115,MCG,MCG,VIC,5
2018,round22,2Game3,Geelong,158,Kardinia Park,Kardinia Park,VIC,9
2018,round22,2Game4,Greater Western Sydney,60,Sydney Showground,Sydney Showground,NSW,3
2018,round22,2Game5,Gold Coast,74,Metricon,Metricon,QLD,17
2018,round22,2Game6,St. Kilda,76,Docklands,Docklands,VIC,15
2018,round22,2Game7,Carlton,49,Docklands,Docklands,VIC,18
2018,round22,2Game8,West Coast,91,Perth Stadium,Perth Stadium,WA,2
2018,round22,2Game9,Adelaide,86,Adelaide Oval,Adelaide Oval,SA,12
2018,round23,3Game1,Port Adelaide,89,Adelaide Oval,Adelaide Oval,SA,9
2018,round23,3Game2,Geelong,142,Kardinia Park,Kardinia Park,VIC,8
2018,round23,3Game3,Richmond,98,MCG,MCG,VIC,1
2018,round23,3Game4,Fremantle,67,Perth Stadium,Perth Stadium,WA,14
2018,round23,3Game5,Carlton,61,Docklands,Docklands,VIC,18
2018,round23,3Game6,Sydney,74,SCG,SCG,NSW,5
2018,round23,3Game7,Brisbane,72,Gabba,Gabba,QLD,15
2018,round23,3Game8,Melbourne,102,MCG,MCG,VIC,7
2018,round23,3Game9,St. Kilda,94,Docklands,Docklands,VIC,16
2017,round1,Game1,Carlton,89,MCG,Docklands,VIC,14
2017,round1,Game2,Collingwood,86,MCG,MCG,VIC,12
2017,round1,Game3,Sydney,82,SCG,SCG,NSW,1
2017,round1,Game4,St. Kilda,90,Docklands,Docklands,VIC,9
2017,round1,Game5,Essendon,116,MCG,Docklands,VIC,18
2017,round1,Game6,Gold Coast,96,Metricon,Metricon,QLD,15
2017,round1,Game7,North Melbourne,93,Docklands,Docklands,VIC,8
2017,round1,Game8,Adelaide,147,Adelaide Oval,Adelaide Oval,SA,5
2017,round1,Game9,Fremantle,73,Perth Stadium,Perth Stadium,WA,16
2017,round2,Game1,Richmond,99,MCG,MCG,VIC,3
2017,round2,Game2,Western Bulldogs,110,Docklands,Docklands,VIC,8
2017,round2,Game3,Hawthorn,89,MCG,MCG,VIC,12
2017,round2,Game4,Greater Western Sydney,160,Sydney Showground,Sydney Showground,NSW,18
2017,round2,Game5,Brisbane,84,Gabba,Gabba,QLD,9
2017,round2,Game6,West Coast,116,Perth Stadium,Perth Stadium,WA,4
2017,round2,Game7,Geelong,112,Docklands,Kardinia Park,VIC,2
2017,round2,Game8,Melbourne,86,MCG,MCG,VIC,6
2017,round2,Game9,Port Adelaide,145,Adelaide Oval,Adelaide Oval,SA,5
2017,round3,Game1,Sydney,79,SCG,SCG,NSW,15
2017,round3,Game2,North Melbourne,67,Blundstone Arena,Docklands,VIC,12
2017,round3,Game3,Richmond,76,MCG,MCG,VIC,3
2017,round3,Game4,Geelong,126,Docklands,Kardinia Park,VIC,7
2017,round3,Game5,Port Adelaide,83,Adelaide Oval,Adelaide Oval,SA,1
2017,round3,Game6,Fremantle,89,Perth Stadium,Perth Stadium,WA,18
2017,round3,Game7,St. Kilda,107,Docklands,Docklands,VIC,13
2017,round3,Game8,Carlton,57,MCG,Docklands,VIC,16
2017,round3,Game9,Gold Coast,139,Metricon,Metricon,QLD,17
2017,round4,Game1,West Coast,91,Perth Stadium,Perth Stadium,WA,6
2017,round4,Game2,North Melbourne,86,Docklands,Docklands,VIC,17
2017,round4,Game3,Melbourne,104,MCG,MCG,VIC,8
2017,round4,Game4,Greater Western Sydney,112,UNSW Canberra Oval,Sydney Showground,NSW,5
2017,round4,Game5,Carlton,82,Docklands,Docklands,VIC,14
2017,round4,Game6,Adelaide,153,Adelaide Oval,Adelaide Oval,SA,1
2017,round4,Game7,Collingwood,55,Docklands,MCG,VIC,12
2017,round4,Game8,Brisbane,67,Gabba,Gabba,QLD,13
2017,round4,Game9,Hawthorn,48,MCG,MCG,VIC,18
2017,round5,Game1,Port Adelaide,137,Adelaide Oval,Adelaide Oval,SA,7
2017,round5,Game2,Western Bulldogs,122,Docklands,Docklands,VIC,6
2017,round5,Game3,Gold Coast,86,Metricon,Metricon,QLD,9
2017,round5,Game4,Sydney,63,SCG,SCG,NSW,16
2017,round5,Game5,Fremantle,67,Perth Stadium,Perth Stadium,WA,12
2017,round5,Game6,St. Kilda,88,Docklands,Docklands,VIC,10
2017,round5,Game7,Hawthorn,125,MCG,MCG,VIC,18
2017,round5,Game8,Richmond,88,MCG,MCG,VIC,3
2017,round5,Game9,Essendon,100,Docklands,Docklands,VIC,11
2017,round6,Game1,Greater Western Sydney,75,UNSW Canberra Oval,Sydney Showground,NSW,4
2017,round6,Game2,Hawthorn,55,University of Tasmania Stadium,MCG,VIC,15
2017,round6,Game3,Carlton,97,Docklands,Docklands,VIC,16
2017,round6,Game4,Brisbane,67,Gabba,Gabba,QLD,14
2017,round6,Game5,North Melbourne,107,Docklands,Docklands,VIC,17
2017,round6,Game6,West Coast,103,Perth Stadium,Perth Stadium,WA,7
2017,round6,Game7,Essendon,74,Docklands,Docklands,VIC,8
2017,round6,Game8,Geelong,78,MCG,Kardinia Park,VIC,2
2017,round6,Game9,Adelaide,140,Adelaide Oval,Adelaide Oval,SA,1
2017,round7,Game1,St. Kilda,108,Docklands,Docklands,VIC,9
2017,round7,Game2,North Melbourne,145,Blundstone Arena,Docklands,VIC,15
2017,round7,Game3,Collingwood,56,MCG,MCG,VIC,12
2017,round7,Game4,Port Adelaide,87,Adelaide Oval,Adelaide Oval,SA,5
2017,round7,Game5,Gold Coast,124,Metricon,Metricon,QLD,13
2017,round7,Game6,Western Bulldogs,80,Docklands,Docklands,VIC,7
2017,round7,Game7,Sydney,135,SCG,SCG,NSW,18
2017,round7,Game8,Melbourne,91,MCG,MCG,VIC,8
2017,round7,Game9,Fremantle,116,Perth Stadium,Perth Stadium,WA,11
2017,round8,Game1,West Coast,69,Perth Stadium,Perth Stadium,WA,4
2017,round8,Game2,Hawthorn,113,University of Tasmania Stadium,MCG,VIC,16
2017,round8,Game3,St. Kilda,85,Docklands,Docklands,VIC,8
2017,round8,Game4,Greater Western Sydney,102,Sydney Showground,Sydney Showground,NSW,2
2017,round8,Game5,Essendon,110,Docklands,Docklands,VIC,12
2017,round8,Game6,Adelaide,66,Adelaide Oval,Adelaide Oval,SA,1
2017,round8,Game7,Richmond,70,MCG,MCG,VIC,6
2017,round8,Game8,Gold Coast,38,Jiangwan Stadium,Metricon,QLD,11
2017,round8,Game9,North Melbourne,78,Docklands,Docklands,VIC,14
2017,round9,Game1,Geelong,104,Kardinia Park,Kardinia Park,VIC,5
2017,round9,Game2,St. Kilda,68,Docklands,Docklands,VIC,6
2017,round9,Game3,Greater Western Sydney,78,Sydney Showground,Sydney Showground,NSW,2
2017,round9,Game4,Brisbane,60,Gabba,Gabba,QLD,18
2017,round9,Game5,Collingwood,90,MCG,MCG,VIC,17
2017,round9,Game6,Essendon,125,Docklands,Docklands,VIC,11
2017,round9,Game7,Melbourne,90,MCG,MCG,VIC,10
2017,round9,Game8,Fremantle,86,Perth Stadium,Perth Stadium,WA,9
2017,round10,0Game1,Geelong,81,Kardinia Park,Kardinia Park,VIC,3
2017,round10,0Game2,Sydney,75,SCG,SCG,NSW,12
2017,round10,0Game3,Western Bulldogs,90,Docklands,Docklands,VIC,8
2017,round10,0Game4,Melbourne,122,TIO Stadium,MCG,VIC,11
2017,round10,0Game5,Richmond,81,MCG,MCG,VIC,7
2017,round10,0Game6,Adelaide,143,Adelaide Oval,Adelaide Oval,SA,1
2017,round10,0Game7,Collingwood,129,MCG,MCG,VIC,13
2017,round10,0Game8,Carlton,96,Docklands,Docklands,VIC,16
2017,round10,0Game9,West Coast,90,Perth Stadium,Perth Stadium,WA,4
2017,round11,1Game1,Port Adelaide,98,Adelaide Oval,Adelaide Oval,SA,8
2017,round11,1Game2,Geelong,96,Kardinia Park,Kardinia Park,VIC,3
2017,round11,1Game3,Gold Coast,80,Metricon,Metricon,QLD,16
2017,round11,1Game4,Greater Western Sydney,117,Sydney Showground,Sydney Showground,NSW,2
2017,round11,1Game5,North Melbourne,66,Docklands,Docklands,VIC,13
2017,round11,1Game6,Fremantle,85,Perth Stadium,Perth Stadium,WA,7
2017,round12,2Game1,Sydney,88,SCG,SCG,NSW,15
2017,round12,2Game2,Adelaide,111,Adelaide Oval,Adelaide Oval,SA,1
2017,round12,2Game3,Hawthorn,79,MCG,MCG,VIC,14
2017,round12,2Game4,Brisbane,121,Gabba,Gabba,QLD,18
2017,round12,2Game5,Essendon,131,Docklands,Docklands,VIC,12
2017,round12,2Game6,Carlton,71,Docklands,Docklands,VIC,17
2017,round12,2Game7,Melbourne,104,MCG,MCG,VIC,9
2017,round13,3Game1,West Coast,83,Perth Stadium,Perth Stadium,WA,9
2017,round13,3Game2,North Melbourne,72,Docklands,Docklands,VIC,15
2017,round13,3Game3,Richmond,71,MCG,MCG,VIC,4
2017,round13,3Game4,Port Adelaide,121,Adelaide Oval,Adelaide Oval,SA,5
2017,round13,3Game5,Gold Coast,73,Metricon,Metricon,QLD,13
2017,round13,3Game6,Western Bulldogs,56,Docklands,Docklands,VIC,8
2017,round14,4Game1,Adelaide,82,Adelaide Oval,Adelaide Oval,SA,1
2017,round14,4Game2,Sydney,86,SCG,SCG,NSW,12
2017,round14,4Game3,Collingwood,62,MCG,MCG,VIC,13
2017,round14,4Game4,Brisbane,86,Gabba,Gabba,QLD,18
2017,round14,4Game5,Western Bulldogs,107,Docklands,Docklands,VIC,9
2017,round14,4Game6,West Coast,96,Perth Stadium,Perth Stadium,WA,7
2017,round14,4Game7,Geelong,74,Kardinia Park,Kardinia Park,VIC,3
2017,round14,4Game8,Richmond,84,MCG,MCG,VIC,6
2017,round14,4Game9,St. Kilda,104,Docklands,Docklands,VIC,10
2017,round15,5Game1,Melbourne,50,MCG,MCG,VIC,5
2017,round15,5Game2,Western Bulldogs,80,Docklands,Docklands,VIC,9
2017,round15,5Game3,Carlton,77,Docklands,Docklands,VIC,15
2017,round15,5Game4,Gold Coast,118,Metricon,Metricon,QLD,14
2017,round15,5Game5,Greater Western Sydney,68,Sydney Showground,Sydney Showground,NSW,1
2017,round15,5Game6,Port Adelaide,63,Adelaide Oval,Adelaide Oval,SA,4
2017,round15,5Game7,Essendon,82,Docklands,Docklands,VIC,11
2017,round15,5Game8,Hawthorn,118,MCG,MCG,VIC,16
2017,round15,5Game9,Fremantle,80,Perth Stadium,Perth Stadium,WA,12
2017,round16,6Game1,Adelaide,104,Adelaide Oval,Adelaide Oval,SA,2
2017,round16,6Game2,Hawthorn,97,MCG,MCG,VIC,13
2017,round16,6Game3,Collingwood,80,MCG,MCG,VIC,15
2017,round16,6Game4,Sydney,118,SCG,SCG,NSW,9
2017,round16,6Game5,Brisbane,78,Gabba,Gabba,QLD,18
2017,round16,6Game6,St. Kilda,138,Docklands,Docklands,VIC,8
2017,round16,6Game7,North Melbourne,82,Docklands,Docklands,VIC,17
2017,round16,6Game8,Carlton,82,Docklands,Docklands,VIC,16
2017,round16,6Game9,West Coast,88,Perth Stadium,Perth Stadium,WA,7
2017,round17,7Game1,St. Kilda,57,Docklands,Docklands,VIC,7
2017,round17,7Game2,Geelong,88,Kardinia Park,Kardinia Park,VIC,3
2017,round17,7Game3,Port Adelaide,127,Adelaide Oval,Adelaide Oval,SA,4
2017,round17,7Game4,Gold Coast,88,Metricon,Metricon,QLD,14
2017,round17,7Game5,Greater Western Sydney,83,Sydney Showground,Sydney Showground,NSW,2
2017,round17,7Game6,Melbourne,70,TIO Stadium,MCG,VIC,5
2017,round17,7Game7,Richmond,112,MCG,MCG,VIC,6
2017,round17,7Game8,Carlton,62,Docklands,Docklands,VIC,16
2017,round17,7Game9,Fremantle,44,Perth Stadium,Perth Stadium,WA,12
2017,round18,8Game1,Adelaide,91,Adelaide Oval,Adelaide Oval,SA,1
2017,round18,8Game2,Essendon,132,Docklands,Docklands,VIC,10
2017,round18,8Game3,Melbourne,88,MCG,MCG,VIC,7
2017,round18,8Game4,Western Bulldogs,110,Cazaly's Stadium,Docklands,VIC,11
2017,round18,8Game5,Sydney,101,SCG,SCG,NSW,6
2017,round18,8Game6,Fremantle,48,Perth Stadium,Perth Stadium,WA,12
2017,round18,8Game7,Richmond,64,MCG,MCG,VIC,5
2017,round18,8Game8,Collingwood,93,MCG,MCG,VIC,14
2017,round18,8Game9,Brisbane,112,Gabba,Gabba,QLD,18
2017,round19,9Game1,Hawthorn,72,MCG,MCG,VIC,12
2017,round19,9Game2,North Melbourne,76,Blundstone Arena,Docklands,VIC,17
2017,round19,9Game3,Greater Western Sydney,98,Sydney Showground,Sydney Showground,NSW,3
2017,round19,9Game4,Port Adelaide,63,Adelaide Oval,Adelaide Oval,SA,5
2017,round19,9Game5,Gold Coast,65,Metricon,Metricon,QLD,15
2017,round19,9Game6,Carlton,58,Docklands,Docklands,VIC,16
2017,round19,9Game7,Western Bulldogs,127,Docklands,Docklands,VIC,10
2017,round19,9Game8,Collingwood,103,MCG,MCG,VIC,13
2017,round19,9Game9,West Coast,113,Perth Stadium,Perth Stadium,WA,9
2017,round20,0Game1,Geelong,61,Kardinia Park,Kardinia Park,VIC,2
2017,round20,0Game2,Greater Western Sydney,97,UNSW Canberra Oval,Sydney Showground,NSW,3
2017,round20,0Game3,Essendon,84,Docklands,Docklands,VIC,10
2017,round20,0Game4,Brisbane,89,Gabba,Gabba,QLD,18
2017,round20,0Game5,North Melbourne,57,Docklands,Docklands,VIC,16
2017,round20,0Game6,Fremantle,90,Perth Stadium,Perth Stadium,WA,14
2017,round20,0Game7,St. Kilda,103,Docklands,Docklands,VIC,11
2017,round20,0Game8,Richmond,93,MCG,MCG,VIC,4
2017,round20,0Game9,Adelaide,130,Adelaide Oval,Adelaide Oval,SA,1
2017,round21,1Game1,Western Bulldogs,57,Docklands,Docklands,VIC,7
2017,round21,1Game2,Sydney,143,SCG,SCG,NSW,6
2017,round21,1Game3,Geelong,80,Kardinia Park,Kardinia Park,VIC,4
2017,round21,1Game4,Brisbane,142,Gabba,Gabba,QLD,18
2017,round21,1Game5,Essendon,80,Docklands,Docklands,VIC,8
2017,round21,1Game6,West Coast,100,Perth Stadium,Perth Stadium,WA,9
2017,round21,1Game7,Melbourne,96,MCG,MCG,VIC,10
2017,round21,1Game8,Hawthorn,116,University of Tasmania Stadium,MCG,VIC,13
2017,round21,1Game9,Port Adelaide,98,Adelaide Oval,Adelaide Oval,SA,5
2017,round22,2Game1,Adelaide,80,Adelaide Oval,Adelaide Oval,SA,1
2017,round22,2Game2,Western Bulldogs,79,Eureka,Docklands,VIC,9
2017,round22,2Game3,Collingwood,59,MCG,MCG,VIC,13
2017,round22,2Game4,Greater Western Sydney,81,Sydney Showground,Sydney Showground,NSW,2
2017,round22,2Game5,Gold Coast,57,Metricon,Metricon,QLD,15
2017,round22,2Game6,Carlton,77,Docklands,Docklands,VIC,17
2017,round22,2Game7,Melbourne,104,MCG,MCG,VIC,7
2017,round22,2Game8,St. Kilda,127,Docklands,Docklands,VIC,11
2017,round22,2Game9,Fremantle,51,Perth Stadium,Perth Stadium,WA,14
2017,round23,3Game1,Hawthorn,99,MCG,MCG,VIC,12
2017,round23,3Game2,Collingwood,99,MCG,MCG,VIC,13
2017,round23,3Game3,Brisbane,79,Gabba,Gabba,QLD,18
2017,round23,3Game4,Sydney,138,SCG,SCG,NSW,6
2017,round23,3Game5,Geelong,103,Kardinia Park,Kardinia Park,VIC,3
2017,round23,3Game6,Port Adelaide,135,Adelaide Oval,Adelaide Oval,SA,5
2017,round23,3Game7,Essendon,107,Docklands,Docklands,VIC,8
2017,round23,3Game8,Richmond,122,MCG,MCG,VIC,4
2017,round23,3Game9,West Coast,100,Perth Stadium,Perth Stadium,WA,9
2016,round1,Game1,Richmond,92,MCG,MCG,VIC,5
2016,round1,Game2,Melbourne,80,MCG,MCG,VIC,13
2016,round1,Game3,Gold Coast,121,Metricon,Metricon,QLD,16
2016,round1,Game4,Sydney,133,SCG,SCG,NSW,4
2016,round1,Game5,North Melbourne,107,Docklands,Docklands,VIC,8
2016,round1,Game6,Western Bulldogs,103,Docklands,Docklands,VIC,6
2016,round1,Game7,Port Adelaide,133,Adelaide Oval,Adelaide Oval,SA,9
2016,round1,Game8,West Coast,166,Perth Stadium,Perth Stadium,WA,2
2016,round1,Game9,Geelong,116,MCG,Kardinia Park,VIC,10
2016,round2,Game1,Collingwood,87,MCG,MCG,VIC,17
