Year,Round,Game,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2020,round11,Game1,Port Adelaide,93,Adelaide Oval,Adelaide Oval,SA,1
2020,round11,Game2,Brisbane,96,Gabba,Gabba,NSW,3
2020,round11,Game3,West Coast,72,Perth Stadium,Perth Stadium,WA,6
2020,round11,Game4,Melbourne,92,Adelaide Oval,MCG,VIC,12
2020,round11,Game5,St. Kilda,34,Gabba,Docklands,VIC,2
2020,round11,Game6,Fremantle,48,Perth Stadium,Perth Stadium,WA,16
2020,round11,Game7,Adelaide,38,Adelaide Oval,Adelaide Oval,SA,18
2020,round11,Game8,Gold Coast,73,Metricon,Metricon,QLD,11
2020,round12,Game1,Sydney,66,Perth Stadium,SCG,NSW,17
2020,round12,Game2,Geelong,91,Metricon,Kardinia Park,VIC,3
2020,round12,Game3,North Melbourne,52,Metricon,Docklands,VIC,16
2020,round12,Game4,Melbourne,100,Gabba,MCG,VIC,10
2020,round12,Game5,Fremantle,36,Perth Stadium,Perth Stadium,WA,14
2020,round12,Game6,Western Bulldogs,111,Metricon,Docklands,VIC,11
2020,round12,Game7,St. Kilda,68,Gabba,Docklands,VIC,5
2020,round12,Game8,West Coast,81,Perth Stadium,Perth Stadium,WA,4
2020,round12,Game9,Richmond,53,Gabba,MCG,VIC,6
2020,round13,Game1,Gold Coast,27,TIO Stadium,Metricon,QLD,13
2020,round13,Game2,Western Bulldogs,80,Metricon,Docklands,VIC,10
2020,round13,Game3,Port Adelaide,68,Adelaide Oval,Adelaide Oval,SA,1
2020,round13,Game4,Essendon,61,TIO Stadium,Docklands,VIC,11
2020,round13,Game5,Fremantle,50,Perth Stadium,Perth Stadium,WA,14
2020,round13,Game6,Adelaide,37,Adelaide Oval,Adelaide Oval,SA,18
2020,round13,Game7,Brisbane,50,Gabba,Gabba,QLD,2
2020,round13,Game8,West Coast,61,Perth Stadium,Perth Stadium,WA,4
2020,round13,Game9,Collingwood,65,Gabba,MCG,VIC,7
2020,round14,Game1,Hawthorn,71,Adelaide Oval,MCG,VIC,15
2020,round14,Game2,Richmond,88,Metricon,MCG,VIC,5
2020,round14,Game3,Western Bulldogs,61,Metricon,Docklands,VIC,8
2020,round14,Game4,Port Adelaide,73,Adelaide Oval,Adelaide Oval,SA,1
2020,round14,Game5,Fremantle,53,Perth Stadium,Perth Stadium,WA,13
2020,round14,Game6,Melbourne,52,Traeger Park,MCG,VIC,9
2020,round14,Game7,Carlton,48,Gabba,Docklands,VIC,10
2020,round14,Game8,Gold Coast,91,Metricon,Metricon,QLD,14
2020,round15,Game1,Hawthorn,48,Adelaide Oval,MCG,VIC,15
2020,round15,Game2,West Coast,60,Gabba,Perth Stadium,WA,5
2020,round15,Game3,Richmond,56,Metricon,MCG,VIC,4
2020,round15,Game4,Sydney,67,Cazaly's Stadium,SCG,NSW,16
2020,round15,Game5,Greater Western Sydney,48,Metricon,Sydney Showground,NSW,9
2020,round15,Game6,Brisbane,42,Gabba,Gabba,QLD,3
2020,round16,Game1,North Melbourne,42,Metricon,Docklands,VIC,17
2020,round16,Game2,St. Kilda,80,Metricon,Docklands,VIC,7
2020,round16,Game3,Geelong,108,Gabba,Kardinia Park,VIC,4
2020,round16,Game4,Western Bulldogs,49,Metricon,Docklands,VIC,10
2020,round16,Game5,Melbourne,33,Cazaly's Stadium,MCG,VIC,9
2020,round16,Game6,Adelaide,59,Adelaide Oval,Adelaide Oval,SA,18
2020,round16,Game7,Carlton,57,Metricon,Docklands,VIC,12
2020,round16,Game8,Brisbane,88,Gabba,Gabba,QLD,2
2020,round17,Game1,St. Kilda,50,Gabba,Docklands,VIC,6
2020,round17,Game2,Geelong,31,Metricon,Kardinia Park,VIC,3
2020,round17,Game3,North Melbourne,35,Metricon,Docklands,VIC,17
2020,round17,Game4,Port Adelaide,79,Adelaide Oval,Adelaide Oval,SA,1
2020,round17,Game5,Greater Western Sydney,74,Gabba,Sydney Showground,NSW,8
2020,round17,Game6,Carlton,56,Metricon,Docklands,VIC,11
2020,round17,Game7,Hawthorn,40,Adelaide Oval,MCG,VIC,16
2020,round17,Game8,Sydney,41,Cazaly's Stadium,SCG,NSW,15
2020,round17,Game9,Collingwood,68,Gabba,MCG,VIC,7
2020,round18,Game1,North Melbourne,34,Metricon,Docklands,VIC,17
2020,round18,Game2,St. Kilda,82,Gabba,Docklands,VIC,7
2020,round18,Game3,Essendon,49,Metricon,Docklands,VIC,13
2020,round18,Game4,Adelaide,33,Adelaide Oval,Adelaide Oval,SA,18
2020,round18,Game5,Brisbane,78,Gabba,Gabba,QLD,2
2020,round18,Game6,Hawthorn,108,Adelaide Oval,MCG,VIC,16
2020,round18,Game7,Sydney,63,Metricon,SCG,NSW,15
2020,round18,Game8,Fremantle,44,Cazaly's Stadium,Perth Stadium,WA,11
