Player,Team,Position,,,
Dan Houston,Port Adelaide,Defender,,,
Dougal Howard,Port Adelaide,Defender,,,
Tom Jonas,Port Adelaide,Defender,,,
Trent McKenzie,Port Adelaide,Defender,,,
Jack Hombsch,Port Adelaide,Defender,,,
Jasper Pittard,Port Adelaide,Defender,,,
Jack Trengove,Port Adelaide,Defender,,,
Jarrod Lienert,Port Adelaide,Defender,,,
David Astbury,Richmond,Defender,,,
Brandon Ellis,Richmond,Defender,,,
Dylan Grimes,Richmond,Defender,,,
Alex Rance,Richmond,Defender,,,
Jayden Short,Richmond,Defender,,,
Nick Vlastuin,Richmond,Defender,,,
Bachar Houli,Richmond,Defender,,,
Nathan Broad,Richmond,Defender,,,
Connor Menadue,Richmond,Defender,,,
Ryan Garthwaite,Richmond,Defender,,,
Nathan Brown,St Kilda,Defender,,,
Jake Carlisle,St Kilda,Defender,,,
Hunter Clark,St Kilda,Defender,,,
Jarryn Geary,St Kilda,Defender,,,
Dylan Roberton,St Kilda,Defender,,,
Shane Savage,St Kilda,Defender,,,
Jimmy Webster,St Kilda,Defender,,,
Nick Coffield,St Kilda,Defender,,,
Brandon White,St Kilda,Defender,,,
Sam Gilbert,St Kilda,Defender,,,
Bailey Rice,St Kilda,Defender,,,
Logan Austin,St Kilda,Defender,,,
Daniel McKenzie,St Kilda,Defender,,,
Darragh Joyce,St Kilda,Defender,,,
Ben Paton,St Kilda,Defender,,,
Hugh Goddard,St Kilda,Defender,,,
Heath Grundy,Sydney,Defender,,,
Zak Jones,Sydney,Defender,,,
Jake Lloyd,Sydney,Defender,,,
Jarrad McVeigh,Sydney,Defender,,,
Lewis Melican,Sydney,Defender,,,
Callum Mills,Sydney,Defender,,,
Nic Newman,Sydney,Defender,,,
Dane Rampe,Sydney,Defender,,,
Nick Smith,Sydney,Defender,,,
Aliir Aliir,Sydney,Defender,,,
Harrison Marsh,Sydney,Defender,,,
Colin ORiordan,Sydney,Defender,,,
Alex Johnson,Sydney,Defender,,,
Tom Barrass,West Coast,Defender,,,
Liam Duggan,West Coast,Defender,,,
Shannon Hurn,West Coast,Defender,,,
Lewis Jetta,West Coast,Defender,,,
Jeremy McGovern,West Coast,Defender,,,
Jackson Nelson,West Coast,Defender,,,
Will Schofield,West Coast,Defender,,,
Brad Sheppard,West Coast,Defender,,,
Tom Cole,West Coast,Defender,,,
Oscar Allen,West Coast,Defender,,,
Shane Biggs,Western Bulldogs,Defender,,,
Zaine Cordy,Western Bulldogs,Defender,,,
Hayden Crozier,Western Bulldogs,Defender,,,
Jason Johannisen,Western Bulldogs,Defender,,,
Aaron Naughton,Western Bulldogs,Defender,,,
Fletcher Roberts,Western Bulldogs,Defender,,,
Matt Suckling,Western Bulldogs,Defender,,,
Jackson Trengove,Western Bulldogs,Defender,,,
Bailey Williams,Western Bulldogs,Defender,,,
Easton Wood,Western Bulldogs,Defender,,,
Ed Richards,Western Bulldogs,Defender,,,
Lewis Young,Western Bulldogs,Defender,,,
Roarke Smith,Western Bulldogs,Defender,,,
Dale Morris,Western Bulldogs,Defender,,,
Marcus Adams,Western Bulldogs,Defender,,,
Ryan Harwood,Brisbane Lions,Defender,,,
Jack Frost,Brisbane Lions,Defender,,,
Marco Paparone,Brisbane Lions,Defender,,,
Matthew Hammelmann,Brisbane Lions,Defender,,,
Sam Skinner,Brisbane Lions,Defender,,,
Sam Docherty,Carlton,Defender,,,
Harrison Macreadie,Carlton,Defender,,,
Simon White,Carlton,Defender,,,
Tom Williamson,Carlton,Defender,,,
Alex Silvagni,Carlton,Defender,,,
Ciaran Sheehan,Carlton,Defender,,,
Jackson Ramsay,Collingwood,Defender,,,
Henry Schade,Collingwood,Defender,,,
Martin Gleeson,Essendon,Defender,,,
Zac Dawson,Fremantle,Defender,,,
Garrick Ibbotson,Fremantle,Defender,,,
Lee Spurr,Fremantle,Defender,,,
Griffin Logue,Fremantle,Defender,,,
Sam Collins,Fremantle,Defender,,,
Tom Lonergan,Geelong,Defender,,,
Andrew Mackie,Geelong,Defender,,,
Tom Ruggles,Geelong,Defender,,,
Mackenzie Willis,Gold Coast,Defender,,,
Jack Scrimshaw,Gold Coast,Defender,,,
Grant Birchall,Hawthorn,Defender,,,
Josh Gibson,Hawthorn,Defender,,,
Kurt Heatherley,Hawthorn,Defender,,,
Mitch White,Melbourne,Defender,,,
Lachlan Hansen,North Melbourne,Defender,,,
Mitchell Hibberd,North Melbourne,Defender,,,
Dan Nielson,North Melbourne,Defender,,,
Ben McKay,North Melbourne,Defender,,,
Matthew Broadbent,Port Adelaide,Defender,,,
Taylor Hunt,Richmond,Defender,,,
Oleg Markov,Richmond,Defender,,,
Steven Morris,Richmond,Defender,,,
Jake Batchelor,Richmond,Defender,,,
Leigh Montagna,St Kilda,Defender,,,
Jeremy Laidler,Sydney,Defender,,,
Eric Mackenzie,West Coast,Defender,,,
Sharrod Wellingham,West Coast,Defender,,,
Sam Butler,West Coast,Defender,,,
Kurt Mutimer,West Coast,Defender,,,
Matthew Boyd,Western Bulldogs,Defender,,,
Robert Murphy,Western Bulldogs,Defender,,,
Daniel Merrett,Brisbane Lions,Defender,,,
Reuben William,Brisbane Lions,Defender,,,
Michael Jamison,Carlton,Defender,,,
Ben Sinclair,Collingwood,Defender,,,
Alan Toovey,Collingwood,Defender,,,
Jonathon Marsh,Collingwood,Defender,,,
James Gwilt,Essendon,Defender,,,
Courtenay Dempsey,Essendon,Defender,,,
Nathan Grima,Essendon,Defender,,,
Jason Ashby,Essendon,Defender,,,
Tanner Smith,Fremantle,Defender,,,
Corey Enright,Geelong,Defender,,,
Nick Malceski,Gold Coast,Defender,,,
Seb Tape,Gold Coast,Defender,,,
Joel Patfull,Greater Western Sydney,Defender,,,
Angus Litherland,Hawthorn,Defender,,,
Matthew Spangher,Hawthorn,Defender,,,
Colin Garland,Melbourne,Defender,,,
Heritier Lumumba,Melbourne,Defender,,,
Jack Grimes,Melbourne,Defender,,,
Michael Firrito,North Melbourne,Defender,,,
Alipate Carlile,Port Adelaide,Defender,,,
Nathan Krakouer,Port Adelaide,Defender,,,
Troy Chaplin,Richmond,Defender,,,
Sean Dempster,St Kilda,Defender,,,
Sam Fisher,St Kilda,Defender,,,
Tom Lee,St Kilda,Defender,,,
Luke Delaney,St Kilda,Defender,,,
Michael Talia,Sydney,Defender,,,
Ted Richards,Sydney,Defender,,,
Xavier Richards,Sydney,Defender,,,
Jamie Bennell,West Coast,Defender,,,
Xavier Ellis,West Coast,Defender,,,
Mitch WC Brown,West Coast,Defender,,,
Kieran Collins,Western Bulldogs,Defender,,,
Matthew Jaensch,Adelaide,Defender,,,
Sam Shaw,Adelaide,Defender,,,
Justin Clarke,Brisbane Lions,Defender,,,
Matt Maguire,Brisbane Lions,Defender,,,
Mitch Golby,Brisbane Lions,Defender,,,
Hugh Beasley,Brisbane Lions,Defender,,,
Jordon Bourke,Brisbane Lions,Defender,,,
Chris Yarran,Carlton,Defender,,,
Matthew Dick,Carlton,Defender,,,
Tom Fields,Carlton,Defender,,,
Tony Armstrong,Collingwood,Defender,,,
Dustin Fletcher,Essendon,Defender,,,
Ariel Steinberg,Essendon,Defender,,,
Alex Browne,Essendon,Defender,,,
Tayte Pears,Essendon,Defender,,,
Paul Duffield,Fremantle,Defender,,,
Luke McPharlin,Fremantle,Defender,,,
Jared Rivers,Geelong,Defender,,,
Greg Broughton,Gold Coast,Defender,,,
Brian Lake,Hawthorn,Defender,,,
Joel Tippett,North Melbourne,Defender,,,
Scott McMahon,North Melbourne,Defender,,,
Chris Newman,Richmond,Defender,,,
Matt McDonough,Richmond,Defender,,,
Cameron Shenton,St Kilda,Defender,,,
Rhyce Shaw,Sydney,Defender,,,
Brett Goodes,Western Bulldogs,Defender,,,
Josh Prudden,Western Bulldogs,Defender,,,
Sam Darley,Western Bulldogs,Defender,,,
Ben Rutten,Adelaide,Defender,,,
Brent Reilly,Adelaide,Defender,,,
Luke Thompson,Adelaide,Defender,,,
Andrew McInnes,Carlton,Defender,,,
Heath Scotland,Carlton,Defender,,,
Martin Clarke,Collingwood,Defender,,,
Nick Maxwell,Collingwood,Defender,,,
Kyle Hardingham,Essendon,Defender,,,
Matthew Warnock,Gold Coast,Defender,,,
Jack Hutchins,Gold Coast,Defender,,,
Josh Hunt,Greater Western Sydney,Defender,,,
Stephen Gilham,Greater Western Sydney,Defender,,,
Tim Golds,Greater Western Sydney,Defender,,,
Alex Georgiou,Melbourne,Defender,,,
Dean Terlich,Melbourne,Defender,,,
Daniel Nicholson,Melbourne,Defender,,,
