Year,Round,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2019,r11g3,Greater Western Sydney,126,Sydney Showground,Sydney Showground,NSW,3
2019,r11g4,Geelong,85,Kardinia Park,Kardinia Park,VIC,1
2019,r11g5,Brisbane,85,Gabba,Gabba,QLD,6
2019,r11g6,Melbourne,88,TIO Stadium,MCG,VIC,16
2019,r11g7,St. Kilda,69,Jiangwan Stadium,Docklands,VIC,12
2019,r11g8,Essendon,74,MCG,Docklands,VIC,10
2019,r11g9,West Coast,133,Perth Stadium,Perth Stadium,WA,4
2019,r12g1,Richmond,37,MCG,MCG,VIC,6
2019,r12g2,Carlton,78,Docklands,Docklands,VIC,18
2019,r12g3,Gold Coast,72,Metricon,Metricon,QLD,17
2019,r12g4,Adelaide,82,Adelaide Oval,Adelaide Oval,SA,8
2019,r12g5,Sydney,116,SCG,SCG,NSW,15
2019,r12g6,Collingwood,98,MCG,MCG,VIC,3
2019,r13g1,Adelaide,101,Adelaide Oval,Adelaide Oval,SA,5
2019,r13g2,Essendon,96,Docklands,Docklands,VIC,10
2019,r13g3,Gold Coast,76,Riverway Stadium,Metricon,QLD,17
2019,r13g4,Fremantle,100,Perth Stadium,Perth Stadium,WA,9
2019,r13g5,Carlton,100,Docklands,Docklands,VIC,18
2019,r13g6,North Melbourne,68,Blundstone Arena,Docklands,VIC,12
2019,r14g1,West Coast,106,Perth Stadium,Perth Stadium,WA,5
2019,r14g2,Sydney,82,SCG,SCG,NSW,15
2019,r14g3,Melbourne,85,MCG,MCG,VIC,16
2019,r14g4,St. Kilda,59,Docklands,Docklands,VIC,11
2019,r14g5,Port Adelaide,67,Adelaide Oval,Adelaide Oval,SA,9
2019,r14g6,Western Bulldogs,73,Docklands,Docklands,VIC,14
2019,r15g1,Essendon,77,Docklands,Docklands,VIC,10
2019,r15g2,Geelong,96,Kardinia Park,Kardinia Park,VIC,1
2019,r15g3,Hawthorn,71,MCG,MCG,VIC,12
2019,r15g4,Sydney,93,SCG,SCG,NSW,14
2019,r15g5,Collingwood,37,Docklands,MCG,VIC,2
2019,r15g6,Port Adelaide,41,Adelaide Oval,Adelaide Oval,SA,7
2019,r15g7,St. Kilda,70,Docklands,Docklands,VIC,11
