Player,Club,Position
Tom Campbell,North Melbourne,Forward
Justin Westhoff,Port Adelaide,Forward
Charlie Dixon,Port Adelaide,Forward
Todd Marshall,Port Adelaide,Forward
Peter Ladhams,Port Adelaide,Forward
Billy Frampton,Port Adelaide,Forward
Jack Riewoldt,Richmond,Forward
Tom J Lynch,Richmond,Forward
Noah Balta,Richmond,Forward
Josh Bruce,St Kilda,Forward
Paddy McCartin,St Kilda,Forward
Max King,St Kilda,Forward
Jack Mayo,St Kilda,Forward
Lance Franklin,Sydney Swans,Forward
Sam Reid,Sydney Swans,Forward
Tom McCartin,Sydney Swans,Forward
Nick Blakey,Sydney Swans,Forward
Hayden McLean,Sydney Swans,Forward
Kurt Tippett,Sydney Swans,Forward
Jack Darling,West Coast Eagles,Forward
Josh J Kennedy,West Coast Eagles,Forward
Oscar Allen,West Coast Eagles,Forward
Jake Waterman,West Coast Eagles,Forward
Fraser McInnes,West Coast Eagles,Forward
Jarrod Brander,West Coast Eagles,Forward
Patrick Bines,West Coast Eagles,Forward
Aaron Naughton,Western Bulldogs,Forward
Josh Schache,Western Bulldogs,Forward
Fergus Greene,Western Bulldogs,Forward
Ryan Gardner,Western Bulldogs,Forward
Rory Sloane,Adelaide Crows,Midfield
Matt Crouch,Adelaide Crows,Midfield
Paul Seedsman,Adelaide Crows,Midfield
Bryce Gibbs,Adelaide Crows,Midfield
Rory Atkins,Adelaide Crows,Midfield
Cam Ellis-Yolmen,Adelaide Crows,Midfield
David Mackay,Adelaide Crows,Midfield
Brad Crouch,Adelaide Crows,Midfield
Ned McHenry,Adelaide Crows,Midfield
Lachie Neale,Brisbane Lions,Midfield
Dayne Zorko,Brisbane Lions,Midfield
Jarryd Lyons,Brisbane Lions,Midfield
Mitch Robinson,Brisbane Lions,Midfield
Hugh McCluggage,Brisbane Lions,Midfield
Jarrod Berry,Brisbane Lions,Midfield
Tom Cutler,Brisbane Lions,Midfield
Ryan Bastinac,Brisbane Lions,Midfield
Jacob Allison,Brisbane Lions,Midfield
Mitch Hinge,Brisbane Lions,Midfield
Tom Joyce,Brisbane Lions,Midfield
Corey Lyons,Brisbane Lions,Midfield
Patrick Cripps,Carlton,Midfield
Ed Curnow,Carlton,Midfield
Marc Murphy,Carlton,Midfield
Sam Walsh,Carlton,Midfield
Lochie OBrien,Carlton,Midfield
Angus Schumacher,Carlton,Midfield
Adam Treloar,Collingwood,Midfield
Scott Pendlebury,Collingwood,Midfield
Steele Sidebottom,Collingwood,Midfield
Taylor Adams,Collingwood,Midfield
Tom Phillips,Collingwood,Midfield
Dayne Beams,Collingwood,Midfield
Chris Mayne,Collingwood,Midfield
Brayden Sier,Collingwood,Midfield
Tyler Brown,Collingwood,Midfield
Zach Merrett,Essendon,Midfield
Dylan Shiel,Essendon,Midfield
Dyson Heppell,Essendon,Midfield
Andrew McGrath,Essendon,Midfield
David Zaharakis,Essendon,Midfield
David Myers,Essendon,Midfield
Matt Guelfi,Essendon,Midfield
Dylan Clarke,Essendon,Midfield
Will Snelling,Essendon,Midfield
Kobe Mutch,Essendon,Midfield
Tom Jok,Essendon,Midfield
Trent Mynott,Essendon,Midfield
Nat Fyfe,Fremantle,Midfield
David Mundy,Fremantle,Midfield
Ed Langdon,Fremantle,Midfield
Bradley Hill,Fremantle,Midfield
Reece Conca,Fremantle,Midfield
Stephen Hill,Fremantle,Midfield
Tom North,Fremantle,Midfield
Luke Valente,Fremantle,Midfield
Tim Kelly,Geelong Cats,Midfield
Joel Selwood,Geelong Cats,Midfield
Mitch Duncan,Geelong Cats,Midfield
Cameron Guthrie,Geelong Cats,Midfield
Jordan Clark,Geelong Cats,Midfield
Jordan Cunico,Geelong Cats,Midfield
Scott Selwood,Geelong Cats,Midfield
Charlie Constable,Geelong Cats,Midfield
Jacob Kennerley,Geelong Cats,Midfield
Touk Miller,Gold Coast Suns,Midfield
David Swallow,Gold Coast Suns,Midfield
Jack Bowes,Gold Coast Suns,Midfield
Brayden Fiorini,Gold Coast Suns,Midfield
Jordan Murdoch,Gold Coast Suns,Midfield
Anthony Miles,Gold Coast Suns,Midfield
Will Brodie,Gold Coast Suns,Midfield
George Horlin-Smith,Gold Coast Suns,Midfield
Corey Ellis,Gold Coast Suns,Midfield
Jacob Dawson,Gold Coast Suns,Midfield
Sam Fletcher,Gold Coast Suns,Midfield
Mitch Riordan,Gold Coast Suns,Midfield
Stephen Coniglio,GWS Giants,Midfield
Josh Kelly,GWS Giants,Midfield
Jacob Hopper,GWS Giants,Midfield
Callan Ward,GWS Giants,Midfield
Tim Taranto,GWS Giants,Midfield
Adam Tomlinson,GWS Giants,Midfield
Harry Perryman,GWS Giants,Midfield
Tom Sheridan,GWS Giants,Midfield
Jackson Hately,GWS Giants,Midfield
Jye Caldwell,GWS Giants,Midfield
Nick Shipley,GWS Giants,Midfield
Jack Buckley,GWS Giants,Midfield
Xavier OHalloran,GWS Giants,Midfield
Liam Shiels,Hawthorn,Midfield
Ricky Henderson,Hawthorn,Midfield
Jaeger OMeara,Hawthorn,Midfield
Shaun Burgoyne,Hawthorn,Midfield
James Worpel,Hawthorn,Midfield
Tom Mitchell,Hawthorn,Midfield
Isaac Smith,Hawthorn,Midfield
Daniel Howe,Hawthorn,Midfield
Tom Scully,Hawthorn,Midfield
James Cousins,Hawthorn,Midfield
Will Golds,Hawthorn,Midfield
Harrison Jones,Hawthorn,Midfield
Clayton Oliver,Melbourne,Midfield
Angus Brayshaw,Melbourne,Midfield
James Harmes,Melbourne,Midfield
Bayley Fritsch,Melbourne,Midfield
Jack Viney,Melbourne,Midfield
Nathan Jones,Melbourne,Midfield
Billy Stretch,Melbourne,Midfield
Jay Kennedy Harris,Melbourne,Midfield
Oskar Baker,Melbourne,Midfield
Kade Chandler,Melbourne,Midfield
Corey Maynard,Melbourne,Midfield
James Jordon,Melbourne,Midfield
Aaron Nietschke,Melbourne,Midfield
Ben Cunnington,North Melbourne,Midfield
Shaun Higgins,North Melbourne,Midfield
Jed Anderson,North Melbourne,Midfield
Jared Polec,North Melbourne,Midfield
Trent Dumont,North Melbourne,Midfield
Dom Tyson,North Melbourne,Midfield
Paul Ahern,North Melbourne,Midfield
Ben Jacobs,North Melbourne,Midfield
Aaron Hall,North Melbourne,Midfield
Kyron Hayden,North Melbourne,Midfield
Tom McKenzie,North Melbourne,Midfield
Ollie Wines,Port Adelaide,Midfield
Tom Rockliff,Port Adelaide,Midfield
Brad Ebert,Port Adelaide,Midfield
Sam Powell-Pepper,Port Adelaide,Midfield
Karl Amon,Port Adelaide,Midfield
Xavier Duursma,Port Adelaide,Midfield
Willem Drew,Port Adelaide,Midfield
Cam Sutcliffe,Port Adelaide,Midfield
Joe Atley,Port Adelaide,Midfield
Kai Pudney,Port Adelaide,Midfield
Dion Prestia,Richmond,Midfield
Trent Cotchin,Richmond,Midfield
Jack Graham,Richmond,Midfield
Kamdyn McIntosh,Richmond,Midfield
Shaun Grigg,Richmond,Midfield
Jack Ross,Richmond,Midfield
Patrick Naish,Richmond,Midfield
Oleg Markov,Richmond,Midfield
Riley Collier-Dawkins,Richmond,Midfield
Marlion Pickett,Richmond,Midfield
Fraser Turner,Richmond,Midfield
Sebastian Ross,St Kilda,Midfield
Jack Steele,St Kilda,Midfield
Jack Steven,St Kilda,Midfield
Luke Dunstan,St Kilda,Midfield
Jack Newnes,St Kilda,Midfield
Dan Hannebery,St Kilda,Midfield
Ed Phillips,St Kilda,Midfield
Jack Bytel,St Kilda,Midfield
Luke Parker,Sydney Swans,Midfield
Josh Kennedy,Sydney Swans,Midfield
George Hewett,Sydney Swans,Midfield
Oliver Florent,Sydney Swans,Midfield
Harry Cunningham,Sydney Swans,Midfield
Jackson Thurlow,Sydney Swans,Midfield
James Bell,Sydney Swans,Midfield
Elliot Yeo,West Coast Eagles,Midfield
Luke Shuey,West Coast Eagles,Midfield
Andrew Gaff,West Coast Eagles,Midfield
Dom Sheed,West Coast Eagles,Midfield
Jack Redden,West Coast Eagles,Midfield
Chris Masten,West Coast Eagles,Midfield
Mark Hutchings,West Coast Eagles,Midfield
Matthew Allen,West Coast Eagles,Midfield
Hamish Brayshaw,West Coast Eagles,Midfield
Xavier ONeill,West Coast Eagles,Midfield
Marcus Bontempelli,Western Bulldogs,Midfield
Jack Macrae,Western Bulldogs,Midfield
Lachie Hunter,Western Bulldogs,Midfield
Tom Liberatore,Western Bulldogs,Midfield
Will Hayes,Western Bulldogs,Midfield
Rhylee West,Western Bulldogs,Midfield
Callum Porter,Western Bulldogs,Midfield
Hugh Greenwood,Adelaide Crows,Midfield
Richard Douglas,Adelaide Crows,Midfield
Riley Knight,Adelaide Crows,Midfield
Patrick Wilson,Adelaide Crows,Midfield
Rhys Mathieson,Brisbane Lions,Midfield
Zac Bailey,Brisbane Lions,Midfield
Brandon Starcevich,Brisbane Lions,Midfield
Ben Keays,Brisbane Lions,Midfield
Ely Smith,Brisbane Lions,Midfield
Toby Wooller,Brisbane Lions,Midfield
Zac Fisher,Carlton,Midfield
Sam Petrevski-Seton,Carlton,Midfield
Paddy Dow,Carlton,Midfield
Matthew Kennedy,Carlton,Midfield
David Cuningham,Carlton,Midfield
Darcy Lang,Carlton,Midfield
Will Setterfield,Carlton,Midfield
Matthew Cottrell,Carlton,Midfield
Jordan de Goey,Collingwood,Midfield
Will Hoskin-Elliott,Collingwood,Midfield
Rupert Wills,Collingwood,Midfield
Tim Broomhead,Collingwood,Midfield
Darcy Parish,Essendon,Midfield
Kyle Langford,Essendon,Midfield
Devon Smith,Essendon,Midfield
Brayden Ham,Essendon,Midfield
Michael Walters,Fremantle,Midfield
Darcy Tucker,Fremantle,Midfield
Andrew Brayshaw,Fremantle,Midfield
Bailey Banfield,Fremantle,Midfield
Travis Colyer,Fremantle,Midfield
Patrick Dangerfield,Geelong Cats,Midfield
Gary Ablett,Geelong Cats,Midfield
Sam Menegola,Geelong Cats,Midfield
Luke Dahlhaus,Geelong Cats,Midfield
Jack Martin,Gold Coast Suns,Midfield
Wil Powell,Gold Coast Suns,Midfield
Brad Scheer,Gold Coast Suns,Midfield
Josh Schoenfeld,Gold Coast Suns,Midfield
Lachie Whitfield,GWS Giants,Midfield
Matt de Boer,GWS Giants,Midfield
Brett Deledio,GWS Giants,Midfield
Chad Wingard,Hawthorn,Midfield
Harry Morrison,Hawthorn,Midfield
Oliver Hanrahan,Hawthorn,Midfield
Will Langford,Hawthorn,Midfield
Christian Petracca,Melbourne,Midfield
Corey Wagner,Melbourne,Midfield
Aaron vandenBerg,Melbourne,Midfield
