Year,Round,Away,Away Score,Home Field-A,Away State
2017,r17g4,Collingwood,103,MCG,VIC
2017,r17g5,Sydney,96,SCG,NSW
2017,r17g6,Adelaide,116,Adelaide Oval,SA
2017,r17g7,Brisbane,81,Gabba,QLD
2017,r17g8,Western Bulldogs,82,Docklands,VIC
2017,r17g9,West Coast,74,Perth Stadium,WA
2017,r18g1,Geelong,70,Kardinia Park,VIC
2017,r18g2,North Melbourne,105,Docklands,VIC
2017,r18g3,Port Adelaide,65,Adelaide Oval,SA
2017,r18g4,Gold Coast,56,Metricon,QLD
2017,r18g5,St. Kilda,59,Docklands,VIC
2017,r18g6,Hawthorn,100,MCG,VIC
2017,r18g7,Greater Western Sydney,45,Sydney Showground,NSW
2017,r18g8,West Coast,85,Perth Stadium,WA
2017,r18g9,Carlton,82,Docklands,VIC
2017,r19g1,Sydney,66,SCG,NSW
2017,r19g2,Melbourne,72,MCG,VIC
2017,r19g3,Fremantle,86,Perth Stadium,WA
2017,r19g4,St. Kilda,61,Docklands,VIC
2017,r19g5,Richmond,98,MCG,VIC
2017,r19g6,Geelong,123,Kardinia Park,VIC
2017,r19g7,Essendon,97,Docklands,VIC
2017,r19g8,Adelaide,103,Adelaide Oval,SA
2017,r19g9,Brisbane,45,Gabba,QLD
2017,r20g1,Sydney,107,SCG,NSW
2017,r20g2,Melbourne,62,MCG,VIC
2017,r20g3,Carlton,76,Docklands,VIC
2017,r20g4,Western Bulldogs,103,Docklands,VIC
2017,r20g5,Collingwood,111,MCG,VIC
2017,r20g6,Gold Coast,67,Metricon,QLD
2017,r20g7,West Coast,95,Perth Stadium,WA
2017,r20g8,Hawthorn,64,MCG,VIC
2017,r20g9,Port Adelaide,46,Adelaide Oval,SA
2017,r21g1,Greater Western Sydney,105,Sydney Showground,NSW
2017,r21g2,Fremantle,39,Perth Stadium,WA
2017,r21g3,Richmond,66,MCG,VIC
2017,r21g4,Gold Coast,84,Metricon,QLD
2017,r21g5,Adelaide,123,Adelaide Oval,SA
2017,r21g6,Carlton,83,Docklands,VIC
2017,r21g7,St. Kilda,72,Docklands,VIC
2017,r21g8,North Melbourne,89,Docklands,VIC
2017,r21g9,Collingwood,71,MCG,VIC
2017,r22g1,Sydney,83,SCG,NSW
2017,r22g2,Port Adelaide,96,Adelaide Oval,SA
2017,r22g3,Geelong,70,Kardinia Park,VIC
2017,r22g4,West Coast,60,Perth Stadium,WA
2017,r22g5,Essendon,90,Docklands,VIC
2017,r22g6,Hawthorn,70,MCG,VIC
2017,r22g7,Brisbane,91,Gabba,QLD
2017,r22g8,North Melbourne,78,Docklands,VIC
2017,r22g9,Richmond,155,MCG,VIC
2017,r23g1,Western Bulldogs,90,Docklands,VIC
2017,r23g2,Melbourne,83,MCG,VIC
2017,r23g3,North Melbourne,130,Docklands,VIC
2017,r23g4,Carlton,57,Docklands,VIC
2017,r23g5,Greater Western Sydney,59,Sydney Showground,NSW
2017,r23g6,Gold Coast,20,Metricon,QLD
2017,r23g7,Fremantle,92,Perth Stadium,WA
2017,r23g8,St. Kilda,81,Docklands,VIC
2017,r23g9,Adelaide,71,Adelaide Oval,SA
2016,r1g1,Carlton,83,Docklands,VIC
2016,r1g2,Greater Western Sydney,78,Sydney Showground,NSW
2016,r1g3,Essendon,60,Docklands,VIC
2016,r1g4,Collingwood,53,MCG,VIC
2016,r1g5,Adelaide,97,Adelaide Oval,SA
2016,r1g6,Fremantle,38,Perth Stadium,WA
2016,r1g7,St. Kilda,100,Docklands,VIC
2016,r1g8,Brisbane,102,Gabba,QLD
2016,r1g9,Hawthorn,86,MCG,VIC
2016,r2g1,Richmond,86,MCG,VIC
2016,r2g2,Port Adelaide,86,Adelaide Oval,SA
2016,r2g3,Melbourne,67,MCG,VIC
2016,r2g4,North Melbourne,117,Docklands,VIC
2016,r2g5,Western Bulldogs,93,Docklands,VIC
2016,r2g6,Gold Coast,126,Metricon,QLD
2016,r2g7,Geelong,76,Kardinia Park,VIC
2016,r2g8,West Coast,53,Perth Stadium,WA
2016,r2g9,Sydney,131,SCG,NSW
2016,r3g1,Essendon,51,Docklands,VIC
2016,r3g2,Collingwood,90,MCG,VIC
2016,r3g3,Adelaide,128,Adelaide Oval,SA
2016,r3g4,Greater Western Sydney,68,Sydney Showground,NSW
2016,r3g5,Carlton,41,Docklands,VIC
2016,r3g6,Fremantle,59,Perth Stadium,WA
2016,r3g7,Melbourne,131,MCG,VIC
2016,r3g8,Hawthorn,93,MCG,VIC
2016,r3g9,Brisbane,56,Gabba,QLD
2016,r4g1,Richmond,57,MCG,VIC
2016,r4g2,Geelong,72,Kardinia Park,VIC
2016,r4g3,St. Kilda,84,Docklands,VIC
2016,r4g4,Gold Coast,94,Metricon,QLD
2016,r4g5,Western Bulldogs,85,Docklands,VIC
2016,r4g6,Sydney,103,SCG,NSW
2016,r4g7,Port Adelaide,65,Adelaide Oval,SA
2016,r4g8,Melbourne,102,MCG,VIC
2016,r4g9,Fremantle,101,Perth Stadium,WA
2016,r5g1,Adelaide,109,Adelaide Oval,SA
2016,r5g2,West Coast,49,Perth Stadium,WA
2016,r5g3,North Melbourne,119,Docklands,VIC
2016,r5g4,Brisbane,67,Gabba,QLD
2016,r5g5,Geelong,107,Kardinia Park,VIC
2016,r5g6,Greater Western Sydney,126,Sydney Showground,NSW
2016,r5g7,Carlton,72,Docklands,VIC
2016,r5g8,Richmond,96,MCG,VIC
2016,r5g9,Essendon,73,Docklands,VIC
2016,r6g1,Western Bulldogs,45,Docklands,VIC
2016,r6g2,St. Kilda,135,Docklands,VIC
2016,r6g3,Fremantle,64,Perth Stadium,WA
2016,r6g4,Hawthorn,83,MCG,VIC
2016,r6g5,Gold Coast,48,Metricon,QLD
2016,r6g6,Port Adelaide,94,Adelaide Oval,SA
2016,r6g7,Sydney,97,SCG,NSW
2016,r6g8,Essendon,57,Docklands,VIC
2016,r6g9,Collingwood,62,MCG,VIC
2016,r7g1,Hawthorn,136,MCG,VIC
2016,r7g2,Carlton,99,Docklands,VIC
2016,r7g3,West Coast,79,Perth Stadium,WA
2016,r7g4,Essendon,54,Docklands,VIC
2016,r7g5,Melbourne,160,MCG,VIC
2016,r7g6,Adelaide,108,Adelaide Oval,SA
2016,r7g7,Greater Western Sydney,95,Sydney Showground,NSW
2016,r7g8,North Melbourne,82,Docklands,VIC
2016,r7g9,Brisbane,59,Gabba,QLD
2016,r8g1,Geelong,98,Kardinia Park,VIC
2016,r8g2,North Melbourne,74,Docklands,VIC
2016,r8g3,Fremantle,75,Perth Stadium,WA
2016,r8g4,Gold Coast,58,Metricon,QLD
2016,r8g5,Sydney,100,SCG,NSW
2016,r8g6,Collingwood,143,MCG,VIC
2016,r8g7,Port Adelaide,91,Adelaide Oval,SA
2016,r8g8,Western Bulldogs,114,Docklands,VIC
2016,r8g9,St. Kilda,29,Docklands,VIC
2016,r9g1,Sydney,69,SCG,NSW
2016,r9g2,Geelong,80,Kardinia Park,VIC
2016,r9g3,Adelaide,149,Adelaide Oval,SA
2016,r9g4,West Coast,94,Perth Stadium,WA
2016,r9g5,Richmond,83,MCG,VIC
2016,r9g6,Carlton,46,Docklands,VIC
2016,r9g7,Brisbane,68,Gabba,QLD
2016,r9g8,Western Bulldogs,73,Docklands,VIC
2016,r9g9,Essendon,63,Docklands,VIC
2016,r10g1,North Melbourne,65,Docklands,VIC
2016,r10g2,Hawthorn,135,MCG,VIC
2016,r10g3,Port Adelaide,121,Adelaide Oval,SA
2016,r10g4,Fremantle,67,Perth Stadium,WA
2016,r10g5,Richmond,105,MCG,VIC
2016,r10g6,Greater Western Sydney,85,Sydney Showground,NSW
2016,r10g7,Geelong,85,Kardinia Park,VIC
2016,r10g8,Western Bulldogs,74,Docklands,VIC
2016,r10g9,Gold Coast,55,Metricon,QLD
2016,r11g1,Richmond,54,MCG,VIC
2016,r11g2,Melbourne,64,MCG,VIC
2016,r11g3,Brisbane,64,Gabba,QLD
2016,r11g4,Greater Western Sydney,88,Sydney Showground,NSW
2016,r11g5,Essendon,47,Docklands,VIC
2016,r11g6,Sydney,79,SCG,NSW
2016,r11g7,Port Adelaide,125,Adelaide Oval,SA
2016,r11g8,West Coast,75,Perth Stadium,WA
2016,r11g9,St. Kilda,45,Docklands,VIC
2016,r12g1,Hawthorn,151,MCG,VIC
2016,r12g2,Western Bulldogs,100,Docklands,VIC
2016,r12g3,Fremantle,147,Perth Stadium,WA
2016,r12g4,North Melbourne,74,Docklands,VIC
2016,r12g5,Adelaide,105,Adelaide Oval,SA
2016,r12g6,Carlton,78,Docklands,VIC
2016,r12g7,Gold Coast,97,Metricon,QLD
2016,r12g8,Sydney,63,SCG,NSW
2016,r12g9,Collingwood,58,MCG,VIC
2016,r13g1,Hawthorn,93,MCG,VIC
2016,r13g2,West Coast,131,Perth Stadium,WA
2016,r13g3,Port Adelaide,69,Adelaide Oval,SA
2016,r13g4,Geelong,100,Kardinia Park,VIC
2016,r13g5,Melbourne,31,MCG,VIC
2016,r13g6,Greater Western Sydney,117,Sydney Showground,NSW
2016,r14g1,North Melbourne,67,Docklands,VIC
2016,r14g2,Fremantle,37,Perth Stadium,WA
2016,r14g3,Brisbane,75,Gabba,QLD
2016,r14g4,Carlton,65,Docklands,VIC
2016,r14g5,Geelong,90,Kardinia Park,VIC
2016,r14g6,Gold Coast,60,Metricon,QLD
2016,r15g1,Essendon,52,Docklands,VIC
2016,r15g2,Richmond,56,MCG,VIC
2016,r15g3,St. Kilda,68,Docklands,VIC
2016,r15g4,Western Bulldogs,83,Docklands,VIC
2016,r15g5,Collingwood,57,MCG,VIC
2016,r15g6,Adelaide,120,Adelaide Oval,SA
2016,r16g1,Hawthorn,101,MCG,VIC
2016,r16g2,Sydney,98,SCG,NSW
2016,r16g3,Collingwood,125,MCG,VIC
2016,r16g4,Brisbane,113,Gabba,QLD
2016,r16g5,Richmond,75,MCG,VIC
2016,r16g6,Fremantle,55,Perth Stadium,WA
2016,r16g7,Adelaide,107,Adelaide Oval,SA
2016,r16g8,North Melbourne,72,Docklands,VIC
2016,r16g9,St. Kilda,109,Docklands,VIC
2016,r17g1,Hawthorn,75,MCG,VIC
2016,r17g2,Geelong,78,Kardinia Park,VIC
2016,r17g3,Essendon,83,Docklands,VIC
2016,r17g4,Port Adelaide,105,Adelaide Oval,SA
2016,r17g5,Gold Coast,59,Metricon,QLD
2016,r17g6,Collingwood,69,MCG,VIC
2016,r17g7,West Coast,82,Perth Stadium,WA
2016,r17g8,Melbourne,74,MCG,VIC
2016,r17g9,Greater Western Sydney,146,Sydney Showground,NSW
2016,r18g1,North Melbourne,124,Docklands,VIC
2016,r18g2,Carlton,68,Docklands,VIC
2016,r18g3,Fremantle,81,Perth Stadium,WA
2016,r18g4,Melbourne,60,MCG,VIC
2016,r18g5,Adelaide,55,Adelaide Oval,SA
2016,r18g6,St. Kilda,75,Docklands,VIC
2016,r18g7,Brisbane,128,Gabba,QLD
2016,r18g8,Richmond,44,MCG,VIC
2016,r18g9,Greater Western Sydney,79,Sydney Showground,NSW
2016,r19g1,Western Bulldogs,78,Docklands,VIC
2016,r19g2,Richmond,23,MCG,VIC
2016,r19g3,Carlton,55,Docklands,VIC
2016,r19g4,West Coast,72,Perth Stadium,WA
2016,r19g5,St. Kilda,62,Docklands,VIC
2016,r19g6,Port Adelaide,173,Adelaide Oval,SA
2016,r19g7,Gold Coast,64,Metricon,QLD
2016,r19g8,Sydney,137,SCG,NSW
2016,r19g9,Essendon,61,Docklands,VIC
2016,r20g1,Collingwood,77,MCG,VIC
2016,r20g2,Port Adelaide,33,Adelaide Oval,SA
2016,r20g3,Hawthorn,81,MCG,VIC
2016,r20g4,Greater Western Sydney,92,Sydney Showground,NSW
2016,r20g5,North Melbourne,47,Docklands,VIC
2016,r20g6,Brisbane,39,Gabba,QLD
2016,r20g7,St. Kilda,122,Docklands,VIC
2016,r20g8,Essendon,34,Docklands,VIC
2016,r20g9,West Coast,110,Perth Stadium,WA
2016,r21g1,Collingwood,92,MCG,VIC
2016,r21g2,Carlton,95,Docklands,VIC
2016,r21g3,North Melbourne,57,Docklands,VIC
2016,r21g4,West Coast,97,Perth Stadium,WA
2016,r21g5,Sydney,146,SCG,NSW
2016,r21g6,Melbourne,94,MCG,VIC
2016,r21g7,Gold Coast,69,Metricon,QLD
2016,r21g8,Geelong,82,Kardinia Park,VIC
2016,r21g9,Adelaide,142,Adelaide Oval,SA
2016,r22g1,Hawthorn,67,MCG,VIC
2016,r22g2,Sydney,85,SCG,NSW
2016,r22g3,St. Kilda,55,Docklands,VIC
2016,r22g4,Fremantle,37,Perth Stadium,WA
2016,r22g5,Gold Coast,47,Metricon,QLD
2016,r22g6,Adelaide,109,Adelaide Oval,SA
2016,r22g7,Melbourne,58,MCG,VIC
2016,r22g8,Geelong,129,Kardinia Park,VIC
2016,r22g9,Western Bulldogs,93,Docklands,VIC
2016,r23g1,West Coast,100,Perth Stadium,WA
2016,r23g2,Melbourne,44,MCG,VIC
2016,r23g3,Carlton,79,Docklands,VIC
2016,r23g4,Richmond,51,MCG,VIC
2016,r23g5,Greater Western Sydney,100,Sydney Showground,NSW
2016,r23g6,Port Adelaide,89,Adelaide Oval,SA
2016,r23g7,Brisbane,103,Gabba,QLD
2016,r23g8,Collingwood,111,MCG,VIC
2016,r23g9,Western Bulldogs,49,Docklands,VIC
2015,r1g1,Richmond,105,MCG,VIC
2015,r1g2,Gold Coast,89,Metricon,QLD
2015,r1g3,Essendon,60,Docklands,VIC
2015,r1g4,Collingwood,86,MCG,VIC
2015,r1g5,West Coast,87,Perth Stadium,WA
2015,r1g6,Greater Western Sydney,87,Sydney Showground,NSW
2015,r1g7,North Melbourne,63,Docklands,VIC
2015,r1g8,Port Adelaide,68,Adelaide Oval,SA
2015,r1g9,Geelong,61,Kardinia Park,VIC
2015,r2g1,Carlton,62,Docklands,VIC
2015,r2g2,Western Bulldogs,85,Docklands,VIC
2015,r2g3,Melbourne,56,MCG,VIC
2015,r2g4,Adelaide,90,Adelaide Oval,SA
2015,r2g5,St. Kilda,104,Docklands,VIC
2015,r2g6,Sydney,92,SCG,NSW
2015,r2g7,Fremantle,104,Perth Stadium,WA
2015,r2g8,Hawthorn,76,MCG,VIC
2015,r2g9,Brisbane,51,Gabba,QLD
2015,r3g1,St. Kilda,66,Docklands,VIC
2015,r3g2,Essendon,105,Docklands,VIC
2015,r3g3,Melbourne,55,MCG,VIC
2015,r3g4,Greater Western Sydney,90,Sydney Showground,NSW
2015,r3g5,Port Adelaide,113,Adelaide Oval,SA
2015,r3g6,Richmond,137,MCG,VIC
2015,r3g7,Western Bulldogs,57,Docklands,VIC
2015,r3g8,Gold Coast,96,Metricon,QLD
2015,r3g9,Fremantle,111,Perth Stadium,WA
2015,r4g1,Melbourne,83,MCG,VIC
2015,r4g2,Carlton,121,Docklands,VIC
2015,r4g3,Collingwood,69,MCG,VIC
2015,r4g4,Gold Coast,53,Metricon,QLD
2015,r4g5,Hawthorn,91,MCG,VIC
2015,r4g6,Sydney,60,SCG,NSW
2015,r4g7,West Coast,118,Perth Stadium,WA
2015,r4g8,North Melbourne,83,Docklands,VIC
2015,r4g9,Adelaide,68,Adelaide Oval,SA
2015,r5g1,Collingwood,120,MCG,VIC
2015,r5g2,Geelong,85,Kardinia Park,VIC
2015,r5g3,Western Bulldogs,77,Docklands,VIC
2015,r5g4,Brisbane,54,Gabba,QLD
2015,r5g5,Hawthorn,130,MCG,VIC
2015,r5g6,Greater Western Sydney,33,Sydney Showground,NSW
2015,r5g7,Fremantle,118,Perth Stadium,WA
2015,r5g8,Essendon,82,Docklands,VIC
2015,r5g9,Port Adelaide,115,Adelaide Oval,SA
2015,r6g1,Geelong,100,Kardinia Park,VIC
2015,r6g2,Richmond,74,MCG,VIC
2015,r6g3,St. Kilda,94,Docklands,VIC
2015,r6g4,Hawthorn,98,MCG,VIC
2015,r6g5,Adelaide,119,Adelaide Oval,SA
2015,r6g6,Sydney,88,SCG,NSW
2015,r6g7,Essendon,52,Docklands,VIC
2015,r6g8,Brisbane,84,Gabba,QLD
2015,r6g9,West Coast,78,Perth Stadium,WA
2015,r7g1,North Melbourne,93,Docklands,VIC
2015,r7g2,St. Kilda,73,Docklands,VIC
2015,r7g3,Melbourne,50,MCG,VIC
2015,r7g4,Greater Western Sydney,135,Sydney Showground,NSW
2015,r7g5,Geelong,77,Kardinia Park,VIC
2015,r7g6,Gold Coast,43,Metricon,QLD
2015,r7g7,Fremantle,101,Perth Stadium,WA
2015,r7g8,Collingwood,100,MCG,VIC
2015,r7g9,Port Adelaide,65,Adelaide Oval,SA
2015,r8g1,Carlton,63,Docklands,VIC
2015,r8g2,West Coast,131,Perth Stadium,WA
2015,r8g3,Adelaide,84,Adelaide Oval,SA
2015,r8g4,Collingwood,132,MCG,VIC
2015,r8g5,Sydney,73,SCG,NSW
2015,r8g6,North Melbourne,42,Docklands,VIC
2015,r8g7,Brisbane,78,Gabba,QLD
2015,r8g8,Western Bulldogs,64,Docklands,VIC
2015,r8g9,Richmond,76,MCG,VIC
2015,r9g1,Carlton,62,Docklands,VIC
2015,r9g2,Gold Coast,40,Metricon,QLD
2015,r9g3,Port Adelaide,115,Adelaide Oval,SA
2015,r9g4,Greater Western Sydney,68,Sydney Showground,NSW
2015,r9g5,Essendon,59,Docklands,VIC
2015,r9g6,Fremantle,68,Perth Stadium,WA
2015,r9g7,St. Kilda,108,Docklands,VIC
2015,r9g8,North Melbourne,95,Docklands,VIC
2015,r9g9,Geelong,64,Kardinia Park,VIC
2015,r10g1,Richmond,97,MCG,VIC
2015,r10g2,Adelaide,99,Adelaide Oval,SA
2015,r10g3,Sydney,93,SCG,NSW
2015,r10g4,Geelong,122,Kardinia Park,VIC
2015,r10g5,Western Bulldogs,65,Docklands,VIC
2015,r10g6,Brisbane,67,Gabba,QLD
2015,r10g7,West Coast,75,Perth Stadium,WA
2015,r10g8,Hawthorn,132,MCG,VIC
2015,r10g9,Collingwood,110,MCG,VIC
2015,r11g1,Geelong,92,Kardinia Park,VIC
2015,r11g2,Fremantle,53,Perth Stadium,WA
2015,r11g3,Essendon,46,Docklands,VIC
2015,r11g4,Sydney,91,SCG,NSW
2015,r11g5,Greater Western Sydney,77,Sydney Showground,NSW
2015,r11g6,Melbourne,83,MCG,VIC
2015,r12g1,Hawthorn,114,MCG,VIC
2015,r12g2,West Coast,90,Perth Stadium,WA
2015,r12g3,Port Adelaide,106,Adelaide Oval,SA
2015,r12g4,North Melbourne,117,Docklands,VIC
2015,r12g5,Brisbane,74,Gabba,QLD
2015,r12g6,Melbourne,113,MCG,VIC
2015,r13g1,Collingwood,73,MCG,VIC
2015,r13g2,Richmond,95,MCG,VIC
2015,r13g3,Essendon,76,Docklands,VIC
2015,r13g4,Adelaide,82,Adelaide Oval,SA
2015,r13g5,Western Bulldogs,62,Docklands,VIC
2015,r13g6,Gold Coast,69,Metricon,QLD
2015,r14g1,Port Adelaide,84,Adelaide Oval,SA
2015,r14g2,Hawthorn,101,MCG,VIC
2015,r14g3,Greater Western Sydney,69,Sydney Showground,NSW
2015,r14g4,North Melbourne,70,Docklands,VIC
2015,r14g5,Carlton,53,Docklands,VIC
2015,r14g6,West Coast,114,Perth Stadium,WA
2015,r14g7,St. Kilda,162,Docklands,VIC
2015,r14g8,Brisbane,48,Gabba,QLD
2015,r15g1,Collingwood,63,MCG,VIC
2015,r15g2,Carlton,41,Docklands,VIC
2015,r15g3,Melbourne,60,MCG,VIC
2015,r15g4,Gold Coast,73,Metricon,QLD
2015,r15g5,Geelong,79,Kardinia Park,VIC
2015,r15g6,Adelaide,91,Adelaide Oval,SA
2015,r15g7,St. Kilda,49,Docklands,VIC
2015,r15g8,Fremantle,43,Perth Stadium,WA
2015,r15g9,Sydney,70,SCG,NSW
2015,r16g1,Essendon,68,Docklands,VIC
2015,r16g2,Western Bulldogs,64,Docklands,VIC
2015,r16g3,Greater Western Sydney,94,Sydney Showground,NSW
2015,r16g4,West Coast,87,Perth Stadium,WA
2015,r16g5,Hawthorn,146,MCG,VIC
2015,r16g6,Carlton,53,Docklands,VIC
2015,r16g7,Brisbane,36,Gabba,QLD
2015,r16g8,Adelaide,116,Adelaide Oval,SA
2015,r16g9,Richmond,89,MCG,VIC
2015,r17g1,Hawthorn,173,MCG,VIC
2015,r17g2,Geelong,69,Kardinia Park,VIC
2015,r17g3,Gold Coast,80,Metricon,QLD
2015,r17g4,Fremantle,82,Perth Stadium,WA
2015,r17g5,Port Adelaide,129,Adelaide Oval,SA
2015,r17g6,North Melbourne,110,Docklands,VIC
2015,r17g7,Collingwood,86,MCG,VIC
2015,r17g8,St. Kilda,83,Docklands,VIC
2015,r17g9,Sydney,51,SCG,NSW
2015,r18g1,Richmond,71,MCG,VIC
2015,r18g2,Brisbane,57,Gabba,QLD
2015,r18g3,Melbourne,91,MCG,VIC
2015,r18g4,Adelaide,65,Adelaide Oval,SA
2015,r18g5,North Melbourne,118,Docklands,VIC
2015,r18g6,West Coast,83,Perth Stadium,WA
2015,r18g7,St. Kilda,49,Docklands,VIC
2015,r18g8,Western Bulldogs,127,Docklands,VIC
2015,r18g9,Greater Western Sydney,63,Sydney Showground,NSW
2015,r19g1,Richmond,52,MCG,VIC
2015,r19g2,Carlton,87,Docklands,VIC
2015,r19g3,Port Adelaide,64,Adelaide Oval,SA
2015,r19g4,Gold Coast,114,Metricon,QLD
2015,r19g5,Sydney,63,SCG,NSW
2015,r19g6,Hawthorn,88,MCG,VIC
2015,r19g7,North Melbourne,127,Docklands,VIC
2015,r19g8,Essendon,61,Docklands,VIC
2015,r19g9,Fremantle,96,Perth Stadium,WA
2015,r20g1,Collingwood,76,MCG,VIC
2015,r20g2,Adelaide,171,Adelaide Oval,SA
2015,r20g3,St. Kilda,83,Docklands,VIC
2015,r20g4,Greater Western Sydney,90,Sydney Showground,NSW
2015,r20g5,Hawthorn,121,MCG,VIC
2015,r20g6,Carlton,67,Docklands,VIC
2015,r20g7,Gold Coast,55,Metricon,QLD
2015,r20g8,Melbourne,55,MCG,VIC
2015,r20g9,West Coast,104,Perth Stadium,WA
2015,r21g1,Port Adelaide,108,Adelaide Oval,SA
2015,r21g2,Richmond,147,MCG,VIC
2015,r21g3,Sydney,133,SCG,NSW
2015,r21g4,Essendon,95,Docklands,VIC
2015,r21g5,Geelong,97,Kardinia Park,VIC
2015,r21g6,Brisbane,44,Gabba,QLD
2015,r21g7,Fremantle,83,Perth Stadium,WA
2015,r21g8,Melbourne,55,MCG,VIC
2015,r21g9,Western Bulldogs,85,Docklands,VIC
2015,r22g1,Collingwood,110,MCG,VIC
2015,r22g2,Carlton,51,Docklands,VIC
2015,r22g3,Brisbane,62,Gabba,QLD
2015,r22g4,Western Bulldogs,96,Docklands,VIC
2015,r22g5,Richmond,74,MCG,VIC
2015,r22g6,Port Adelaide,88,Adelaide Oval,SA
2015,r22g7,West Coast,69,Perth Stadium,WA
2015,r22g8,Sydney,135,SCG,NSW
2015,r22g9,Melbourne,54,MCG,VIC
2015,r23g1,North Melbourne,67,Docklands,VIC
2015,r23g2,Adelaide,80,Adelaide Oval,SA
2015,r23g3,Western Bulldogs,122,Docklands,VIC
2015,r23g4,Fremantle,53,Perth Stadium,WA
2015,r23g5,Carlton,56,Docklands,VIC
2015,r23g6,Gold Coast,64,Metricon,QLD
2015,r23g7,St. Kilda,30,Docklands,VIC
2015,r23g8,Greater Western Sydney,77,Sydney Showground,NSW
2015,r23g9,Essendon,95,Docklands,VIC
2014,r1g1,Fremantle,116,Perth Stadium,WA
2014,r1g2,Sydney,67,SCG,NSW
2014,r1g3,Richmond,69,MCG,VIC
2014,r1g4,Port Adelaide,120,Adelaide Oval,SA
2014,r1g5,Adelaide,81,Adelaide Oval,SA
2014,r1g6,Essendon,99,Docklands,VIC
2014,r1g7,Brisbane,91,Gabba,QLD
2014,r1g8,Melbourne,51,MCG,VIC
2014,r1g9,Western Bulldogs,69,Docklands,VIC
2014,r2g1,Carlton,86,Docklands,VIC
2014,r2g2,Hawthorn,90,MCG,VIC
2014,r2g3,Greater Western Sydney,88,Sydney Showground,NSW
2014,r2g4,Adelaide,73,Adelaide Oval,SA
2014,r2g5,Gold Coast,39,Metricon,QLD
2014,r2g6,Collingwood,89,MCG,VIC
2014,r2g7,Geelong,93,Kardinia Park,VIC
2014,r2g8,West Coast,123,Perth Stadium,WA
2014,r2g9,North Melbourne,83,Docklands,VIC
2014,r3g1,Fremantle,79,Perth Stadium,WA
2014,r3g2,Richmond,98,MCG,VIC
2014,r3g3,Sydney,134,SCG,NSW
2014,r3g4,Brisbane,61,Gabba,QLD
2014,r3g5,Geelong,87,Kardinia Park,VIC
2014,r3g6,St. Kilda,58,Docklands,VIC
2014,r3g7,Melbourne,47,MCG,VIC
2014,r3g8,Port Adelaide,90,Adelaide Oval,SA
2014,r3g9,Carlton,57,Docklands,VIC
2014,r4g1,Collingwood,110,MCG,VIC
2014,r4g2,Melbourne,81,MCG,VIC
2014,r4g3,Brisbane,46,Gabba,QLD
2014,r4g4,Western Bulldogs,110,Docklands,VIC
2014,r4g5,Hawthorn,148,MCG,VIC
2014,r4g6,West Coast,32,Perth Stadium,WA
2014,r4g7,North Melbourne,91,Docklands,VIC
2014,r4g8,Adelaide,136,Adelaide Oval,SA
2014,r4g9,Essendon,60,Docklands,VIC
2014,r5g1,Richmond,106,MCG,VIC
2014,r5g2,North Melbourne,58,Docklands,VIC
2014,r5g3,Fremantle,75,Perth Stadium,WA
2014,r5g4,Port Adelaide,70,Adelaide Oval,SA
2014,r5g5,St. Kilda,81,Docklands,VIC
2014,r5g6,Greater Western Sydney,72,Sydney Showground,NSW
2014,r5g7,Gold Coast,86,Metricon,QLD
2014,r5g8,Carlton,119,Docklands,VIC
2014,r5g9,Hawthorn,87,MCG,VIC
2014,r6g1,Essendon,60,Docklands,VIC
2014,r6g2,North Melbourne,74,Docklands,VIC
2014,r6g3,Brisbane,82,Gabba,QLD
2014,r6g4,Greater Western Sydney,94,Sydney Showground,NSW
2014,r6g5,West Coast,89,Perth Stadium,WA
2014,r6g6,Sydney,69,SCG,NSW
2014,r6g7,Adelaide,92,Adelaide Oval,SA
2014,r6g8,Hawthorn,118,MCG,VIC
2014,r6g9,Geelong,67,Kardinia Park,VIC
2014,r7g1,Collingwood,104,MCG,VIC
2014,r7g2,St. Kilda,30,Docklands,VIC
2014,r7g3,Port Adelaide,132,Adelaide Oval,SA
2014,r7g4,Melbourne,70,MCG,VIC
2014,r7g5,Western Bulldogs,65,Docklands,VIC
2014,r7g6,Sydney,123,SCG,NSW
2014,r7g7,Gold Coast,120,Metricon,QLD
2014,r7g8,Fremantle,73,Perth Stadium,WA
2014,r7g9,Richmond,76,MCG,VIC
2014,r8g1,Hawthorn,88,MCG,VIC
2014,r8g2,Fremantle,76,Perth Stadium,WA
2014,r8g3,Essendon,65,Docklands,VIC
2014,r8g4,Western Bulldogs,99,Docklands,VIC
2014,r8g5,Greater Western Sydney,77,Sydney Showground,NSW
2014,r8g6,Carlton,101,Docklands,VIC
2014,r9g1,Collingwood,55,MCG,VIC
2014,r9g2,Sydney,114,SCG,NSW
2014,r9g3,Melbourne,91,MCG,VIC
2014,r9g4,Brisbane,38,Gabba,QLD
2014,r9g5,Geelong,64,Kardinia Park,VIC
2014,r9g6,Gold Coast,125,Metricon,QLD
2014,r10g1,North Melbourne,91,Docklands,VIC
2014,r10g2,Richmond,154,MCG,VIC
2014,r10g3,West Coast,101,Perth Stadium,WA
2014,r10g4,Hawthorn,86,MCG,VIC
2014,r10g5,Western Bulldogs,74,Docklands,VIC
2014,r10g6,Adelaide,76,Adelaide Oval,SA
2014,r11g1,Geelong,38,Kardinia Park,VIC
