Year,Round,Away,Away Score,Home Field-A,Away State
2019,r15g5,North Melbourne,81,Docklands,VIC
2019,r15g6,Western Bulldogs,66,Docklands,VIC
2019,r15g7,Richmond,103,MCG,VIC
2019,r15g8,Melbourne,74,MCG,VIC
2019,r15g9,Carlton,79,Docklands,VIC
2019,r16g1,Collingwood,63,MCG,VIC
2019,r16g2,Sydney,66,SCG,NSW
2019,r16g3,Richmond,150,MCG,VIC
2019,r16g4,Port Adelaide,101,Adelaide Oval,SA
2019,r16g5,Geelong,55,Kardinia Park,VIC
2019,r16g6,West Coast,122,Perth Stadium,WA
2019,r16g7,Melbourne,105,MCG,VIC
2019,r16g8,St. Kilda,73,Docklands,VIC
2019,r16g9,Brisbane,94,Gabba,QLD
2019,r17g1,Collingwood,78,MCG,VIC
2019,r17g2,Carlton,69,Docklands,VIC
2019,r17g3,Fremantle,53,Perth Stadium,WA
2019,r17g4,North Melbourne,81,Docklands,VIC
2019,r17g5,Adelaide,151,Adelaide Oval,SA
2019,r17g6,St. Kilda,57,Docklands,VIC
2019,r17g7,Greater Western Sydney,67,Sydney Showground,NSW
2019,r17g8,Melbourne,66,MCG,VIC
2019,r17g9,Brisbane,97,Gabba,QLD
2019,r18g1,Essendon,96,Docklands,VIC
2019,r18g2,Port Adelaide,63,Adelaide Oval,SA
2019,r18g3,Gold Coast,75,Metricon,QLD
2019,r18g4,Collingwood,75,MCG,VIC
2019,r18g5,North Melbourne,75,Docklands,VIC
2019,r18g6,Sydney,51,SCG,NSW
2019,r18g7,Hawthorn,85,MCG,VIC
2019,r18g8,West Coast,91,Perth Stadium,WA
2019,r18g9,Western Bulldogs,89,Docklands,VIC
2019,r19g1,Richmond,98,MCG,VIC
2019,r19g2,Brisbane,87,Gabba,QLD
2019,r19g3,Adelaide,60,Adelaide Oval,SA
2019,r19g4,North Melbourne,72,Docklands,VIC
2019,r19g5,Melbourne,85,MCG,VIC
2019,r19g6,Greater Western Sydney,56,Sydney Showground,NSW
2019,r19g7,Fremantle,66,Perth Stadium,WA
2019,r19g8,Geelong,107,Kardinia Park,VIC
2019,r19g9,Essendon,106,Docklands,VIC
2019,r20g1,Hawthorn,64,MCG,VIC
2019,r20g2,Port Adelaide,126,Adelaide Oval,SA
2019,r20g3,Sydney,81,SCG,NSW
2019,r20g4,Geelong,61,Kardinia Park,VIC
2019,r20g5,Richmond,93,MCG,VIC
2019,r20g6,St. Kilda,70,Docklands,VIC
2019,r20g7,Gold Coast,51,Metricon,QLD
2019,r20g8,West Coast,99,Perth Stadium,WA
2019,r20g9,Western Bulldogs,80,Docklands,VIC
2019,r21g1,Hawthorn,85,MCG,VIC
2019,r21g2,Collingwood,70,MCG,VIC
2019,r21g3,Sydney,56,SCG,NSW
2019,r21g4,Gold Coast,53,Metricon,QLD
2019,r21g5,Western Bulldogs,137,Docklands,VIC
2019,r21g6,North Melbourne,14,Docklands,VIC
2019,r21g7,Fremantle,69,Perth Stadium,WA
2019,r21g8,Carlton,45,Docklands,VIC
2019,r21g9,Adelaide,80,Adelaide Oval,SA
2019,r22g1,Sydney,95,SCG,NSW
2019,r22g2,St. Kilda,68,Docklands,VIC
2019,r22g3,Geelong,74,Kardinia Park,VIC
2019,r22g4,Collingwood,114,MCG,VIC
2019,r22g5,Port Adelaide,58,Adelaide Oval,SA
2019,r22g6,Essendon,87,Docklands,VIC
2019,r22g7,West Coast,82,Perth Stadium,WA
2019,r22g8,Western Bulldogs,126,Docklands,VIC
2019,r22g9,Gold Coast,48,Metricon,QLD
2019,r23g1,Essendon,65,Docklands,VIC
2019,r23g2,St. Kilda,64,Docklands,VIC
2019,r23g3,Melbourne,83,MCG,VIC
2019,r23g4,Carlton,61,Docklands,VIC
2019,r23g5,Greater Western Sydney,127,Sydney Showground,NSW
2019,r23g6,Hawthorn,105,MCG,VIC
2019,r23g7,Adelaide,87,Adelaide Oval,SA
2019,r23g8,Brisbane,55,Gabba,QLD
2019,r23g9,Fremantle,67,Perth Stadium,WA
2018,r1g1,Carlton,95,Docklands,VIC
2018,r1g2,Adelaide,87,Adelaide Oval,SA
2018,r1g3,Brisbane,82,Gabba,QLD
2018,r1g4,Fremantle,60,Perth Stadium,WA
2018,r1g5,North Melbourne,39,Docklands,VIC
2018,r1g6,Collingwood,67,MCG,VIC
2018,r1g7,Western Bulldogs,51,Docklands,VIC
2018,r1g8,Geelong,97,Kardinia Park,VIC
2018,r1g9,Sydney,115,SCG,NSW
2018,r2g1,Richmond,82,MCG,VIC
2018,r2g2,St. Kilda,43,Docklands,VIC
2018,r2g3,Gold Coast,101,Metricon,QLD
2018,r2g4,Greater Western Sydney,95,Sydney Showground,NSW
2018,r2g5,Melbourne,100,MCG,VIC
2018,r2g6,Essendon,90,Docklands,VIC
2018,r2g7,West Coast,121,Perth Stadium,WA
2018,r2g8,Port Adelaide,94,Adelaide Oval,SA
2018,r2g9,Hawthorn,118,MCG,VIC
2018,r3g1,Collingwood,100,MCG,VIC
2018,r3g2,Brisbane,92,Gabba,QLD
2018,r3g3,North Melbourne,86,Docklands,VIC
2018,r3g4,Fremantle,96,Perth Stadium,WA
2018,r3g5,Greater Western Sydney,87,Sydney Showground,NSW
2018,r3g6,Adelaide,104,Adelaide Oval,SA
2018,r3g7,Hawthorn,89,MCG,VIC
2018,r3g8,Essendon,83,Docklands,VIC
2018,r3g9,Geelong,80,Kardinia Park,VIC
2018,r4g1,Collingwood,106,MCG,VIC
2018,r4g2,Fremantle,51,Perth Stadium,WA
2018,r4g3,Brisbane,17,Gabba,QLD
2018,r4g4,Sydney,86,SCG,NSW
2018,r4g5,Carlton,30,Docklands,VIC
2018,r4g6,Gold Coast,59,Metricon,QLD
2018,r4g7,Port Adelaide,84,Adelaide Oval,SA
2018,r4g8,Melbourne,48,MCG,VIC
2018,r4g9,St. Kilda,56,Docklands,VIC
2018,r5g1,Adelaide,85,Adelaide Oval,SA
2018,r5g2,Greater Western Sydney,73,Sydney Showground,NSW
2018,r5g3,West Coast,79,Perth Stadium,WA
2018,r5g4,Geelong,84,Kardinia Park,VIC
2018,r5g5,Western Bulldogs,54,Docklands,VIC
2018,r5g6,Hawthorn,70,MCG,VIC
2018,r5g7,Gold Coast,76,Metricon,QLD
2018,r5g8,Richmond,102,MCG,VIC
2018,r5g9,Essendon,52,Docklands,VIC
2018,r6g1,Carlton,59,Docklands,VIC
2018,r6g2,Sydney,86,SCG,NSW
2018,r6g3,Port Adelaide,102,Adelaide Oval,SA
2018,r6g4,Brisbane,43,Gabba,QLD
2018,r6g5,St. Kilda,54,Docklands,VIC
2018,r6g6,Gold Coast,62,Metricon,QLD
2018,r6g7,Melbourne,108,MCG,VIC
2018,r6g8,Richmond,113,MCG,VIC
2018,r6g9,West Coast,89,Perth Stadium,WA
2018,r7g1,Greater Western Sydney,32,Sydney Showground,NSW
2018,r7g2,Gold Coast,72,Metricon,QLD
2018,r7g3,Hawthorn,90,MCG,VIC
2018,r7g4,Port Adelaide,60,Adelaide Oval,SA
2018,r7g5,North Melbourne,68,Docklands,VIC
2018,r7g6,Carlton,70,Docklands,VIC
2018,r7g7,Fremantle,33,Perth Stadium,WA
2018,r7g8,Melbourne,106,MCG,VIC
2018,r7g9,Collingwood,121,MCG,VIC
2018,r8g1,Sydney,79,SCG,NSW
2018,r8g2,West Coast,86,Perth Stadium,WA
2018,r8g3,Essendon,78,Docklands,VIC
2018,r8g4,Melbourne,146,MCG,VIC
