,Player,Team,Position,DOB,Age,Height,Weight,,,,
672,Jack Redpath,Western Bulldogs,Forward,13 Dec 90,27yr,194cm,99kg,,,,
1316,Rhylee West,Western Bulldogs,Midfield,12 Jul 00,18yr,181cm,82kg,,,,
213,Roarke Smith,Western Bulldogs,Defender,11 Sep 96,22yr,181cm,74kg,,,,
704,Clay Smith,Western Bulldogs,Forward,11 May 93,24yr,182cm,83kg,,,,
778,Daniel Giansiracusa,Western Bulldogs,Forward,11 Mar 82,32yr,182cm,81kg,,,,
7336,TristanÿTweedie,Western Bulldogs,Forward,11 Jun 98,18yr,190cm,85kg,,,,
467,Brad Lynch,Western Bulldogs,Forward,11 Jul 97,21yr,187cm,70kg,,,,
1407,Will Minson,Western Bulldogs,Ruck,11 Apr 85,31yr,198cm,107kg,,,,
209,Bailey Williams,Western Bulldogs,Defender,10 Oct 97,21yr,187cm,81kg,,,,
667,Billy Gowers,Western Bulldogs,Forward,10 Jun 96,22yr,184cm,81kg,,,,
1387,Tim English,Western Bulldogs,Ruck,10 Aug 97,21yr,205cm,87kg,,,,
382,Patrick Veszpremi,Western Bulldogs,Defender,1 Sep 89,23yr,183cm,85kg,,,,
1000,Ryan Gardner,Western Bulldogs,Forward,1 Jun 97,21yr,197cm,93kg,,,,
703,Liam Picken,Western Bulldogs,Forward,1 Aug 86,32yr,183cm,80kg,,,,
1313,Hamish Brayshaw,West Coast,Midfield,9 Feb 98,21yr,186cm,85kg,,,,
1138,Jack Redden,West Coast,Midfield,9 Dec 90,28yr,189cm,84kg,,,,
456,Luke Foley,West Coast,Defender,8 Oct 99,19yr,188cm,74kg,,,,
191,Tom Barrass,West Coast,Defender,8 Oct 95,23yr,194cm,85kg,,,,
7312,TarirÿBayok,West Coast,Midfield,8 Mar 98,20yr,174cm,71kg,,,,
1397,Jonathan Giles,West Coast,Ruck,8 Jan 88,29yr,200cm,103kg,,,,
292,Jamie Bennell,West Coast,Defender,7 Jun 90,25yr,179cm,75kg,,,,
256,Sharrod Wellingham,West Coast,Defender,7 Jul 88,28yr,185cm,84kg,,,,
803,Ashton Hams,West Coast,Forward,6 Sep 86,26yr,174cm,73kg,,,,
1271,Tom Swift,West Coast,Midfield,6 Jul 90,21yr,189cm,85kg,,,,
701,Luke Partington,West Coast,Forward,5 Mar 97,21yr,181cm,77kg,,,,
999,Patrick Bines,West Coast,Forward,5 Feb 99,20yr,198cm,98kg,,,,
193,Shannon Hurn,West Coast,Defender,4 Sep 87,31yr,187cm,94kg,,,,
1385,Nic Naitanui,West Coast,Ruck,4 May 90,28yr,201cm,109kg,,,,
194,Lewis Jetta,West Coast,Defender,4 May 89,29yr,181cm,77kg,,,,
662,Willie Rioli,West Coast,Forward,4 Jun 95,23yr,177cm,75kg,,,,
457,Brodie Riach,West Coast,Defender,31 May 98,20yr,189cm,84kg,,,,
381,Beau Waters,West Coast,Defender,30 Mar 86,29yr,188cm,85kg,,,,
658,Mark LeCras,West Coast,Forward,30 Aug 86,31yr,183cm,80kg,,,,
